"","M0","M1","M2","M3","M4","Others","snps","genes","trios","samples","no.PCs"
"1",3581,130,50,7521,564,4,15065,56200,11850,581,580
"2",3074,121,43,5283,406,5,12076,56200,8932,469,468
"3",1907,74,20,2825,221,5,7827,56200,5052,233,232
"4",3030,111,35,5056,372,3,12047,56200,8607,387,386
"5",1489,73,14,2170,187,1,6107,56200,3934,213,212
"6",3474,113,42,7320,514,8,14462,56200,11471,584,583
"7",946,67,8,896,85,1,3647,56200,2003,129,128
"8",1354,106,5,1664,145,1,5496,56200,3275,147,146
"9",2040,150,14,2638,257,2,8140,56200,5101,194,193
"10",2313,153,16,3298,240,1,9560,56200,6021,175,174
"11",2364,146,15,4184,288,1,10707,56200,6998,209,208
"12",2045,113,23,2953,237,3,8852,56200,5374,205,204
"13",2159,92,19,1985,151,2,7159,56200,4408,175,174
"14",1563,95,13,1331,140,3,5399,56200,3145,165,164
"15",1531,89,13,1311,119,0,5350,56200,3063,170,169
"16",2137,122,16,2516,239,3,7975,56200,5033,202,201
"17",1764,108,10,1919,208,2,6751,56200,4011,170,169
"18",1071,80,6,1122,103,2,4346,56200,2384,126,125
"19",862,75,10,704,78,0,3220,56200,1729,114,113
"20",2589,115,30,4330,388,5,10482,56200,7457,396,395
"21",3807,139,58,6845,521,8,14675,56200,11378,483,482
"22",1152,62,5,1808,111,0,4740,56200,3138,147,146
"23",2714,123,29,3944,297,3,10200,56200,7110,318,317
"24",3134,155,29,4526,378,7,11303,56200,8229,368,367
"25",2457,112,36,4209,357,4,10179,56200,7175,330,329
"26",3547,127,47,6583,478,6,14159,56200,10788,497,496
"27",3477,118,50,6123,449,6,13642,56200,10223,465,464
"28",2851,115,39,4313,360,9,10682,56200,7687,372,371
"29",2430,98,22,3649,366,7,9392,56200,6572,386,385
"30",1478,88,13,1722,185,2,5553,56200,3488,208,207
"31",3061,113,35,6514,507,5,13622,56200,10235,515,514
"32",1318,82,13,1383,93,0,4668,56200,2889,144,143
"33",3722,103,49,5889,481,13,13131,56200,10257,706,705
"34",3252,116,39,9067,635,9,16597,56200,13118,532,531
"35",1543,68,13,1551,109,0,5316,56200,3284,167,166
"36",2132,103,18,3847,336,4,9324,56200,6440,305,304
"37",2002,109,25,3214,236,1,8806,56200,5587,237,236
"38",1876,93,10,2541,215,0,7100,56200,4735,221,220
"39",3788,119,41,6983,464,8,15008,56200,11403,517,516
"40",3774,123,62,8478,605,3,16423,56200,13045,605,604
"41",1969,131,16,1992,206,3,6483,56200,4317,174,173
"42",2797,132,29,4028,324,5,10413,56200,7315,227,226
"43",2185,109,28,3306,317,5,8520,56200,5950,324,323
"44",3634,159,23,8543,505,3,18184,56200,12867,322,321
"45",3642,138,43,8688,707,6,16932,56200,13224,574,573
"46",841,40,2,1069,95,0,3422,56200,2047,129,128
"47",1039,73,14,1030,95,0,3607,56200,2251,141,140
"48",3084,113,52,4979,588,7,11847,56200,8823,670,669
