Tissue name,Tissue sample size,# Trios tested,# SNPs,# Genes,# M0,# M1,# M2,# M3,# M4,# Others,% M0,% M1,% M2,% M3,% M4,% Others,# M1 in GMAC (GTEx v6),# Trios tested in GMAC (GTEx v6)
Adipose - Subcutaneous                     ,581,11850,15065,56200,3952,123,6,7588,164,17,0.33350211,0.010379747,0.000506329,0.640337553,0.013839662,0.001434599,325,3332
Adipose - Visceral (Omentum)               ,469,8932,12076,56200,3243,111,12,5429,127,10,0.363076579,0.012427228,0.001343484,0.607814599,0.01421854,0.00111957,125,1410
Adrenal Gland                              ,233,5052,7827,56200,2087,65,4,2833,54,9,0.413103721,0.012866192,0.000791766,0.560768013,0.010688836,0.001781473,94,981
Artery - Aorta                             ,387,8607,12047,56200,3269,92,6,5118,104,18,0.379807134,0.010688974,0.000697107,0.594632276,0.012083188,0.002091321,186,2009
Artery - Coronary                          ,213,3934,6107,56200,1575,70,5,2216,63,5,0.400355872,0.017793594,0.001270971,0.563294357,0.016014235,0.001270971,95,874
Artery - Tibial                            ,584,11471,14462,56200,4112,90,5,7089,148,27,0.358469183,0.007845872,0.000435882,0.6179932,0.012902101,0.002353762,281,2699
Brain - Amygdala                           ,129,2003,3647,56200,1068,38,2,867,24,4,0.5332002,0.018971543,0.000998502,0.432850724,0.011982027,0.001997004,NA,NA
Brain - Anterior cingulate cortex (BA24)   ,147,3275,5496,56200,1485,72,2,1673,33,10,0.453435115,0.021984733,0.000610687,0.510839695,0.010076336,0.003053435,29,365
Brain - Caudate (basal ganglia)            ,194,5101,8140,56200,2162,108,1,2734,81,15,0.423838463,0.021172319,0.00019604,0.535973339,0.015879239,0.0029406,61,763
Brain - Cerebellar Hemisphere              ,175,6021,9560,56200,2412,111,3,3419,69,7,0.400597907,0.018435476,0.000498256,0.567845873,0.01145989,0.001162598,116,1072
Brain - Cerebellum                         ,209,6998,10707,56200,2555,114,6,4246,73,4,0.365104316,0.016290369,0.000857388,0.606744784,0.010431552,0.000571592,84,1295
Brain - Cortex                             ,205,5374,8852,56200,2277,79,7,2951,45,15,0.423706736,0.014700409,0.001302568,0.549125419,0.008373651,0.002791217,45,754
Brain - Frontal Cortex (BA9)               ,175,4408,7159,56200,2335,64,2,1960,32,15,0.529718693,0.014519056,0.000453721,0.444646098,0.007259528,0.003402904,52,595
Brain - Hippocampus                        ,165,3145,5399,56200,1684,83,1,1326,29,22,0.5354531,0.026391097,0.000317965,0.421621622,0.009220986,0.006995231,47,343
Brain - Hypothalamus                       ,170,3063,5350,56200,1644,68,4,1307,34,6,0.536728697,0.022200457,0.001305909,0.426705844,0.011100229,0.001958864,41,343
Brain - Nucleus accumbens (basal ganglia)  ,202,5033,7975,56200,2380,103,4,2467,58,21,0.472878999,0.020464931,0.000794755,0.490164912,0.011523942,0.004172462,43,592
Brain - Putamen (basal ganglia)            ,170,4011,6751,56200,1891,83,3,1970,53,11,0.471453503,0.020693094,0.000747943,0.491149339,0.013213662,0.002742458,35,482
Brain - Spinal cord (cervical c-1)         ,126,2384,4346,56200,1179,64,2,1113,19,7,0.49454698,0.026845638,0.000838926,0.466862416,0.007969799,0.002936242,NA,NA
Brain - Substantia nigra                   ,114,1729,3220,56200,951,52,1,696,24,5,0.550028918,0.030075188,0.000578369,0.402544824,0.013880856,0.002891845,NA,NA
Breast - Mammary Tissue                    ,396,7457,10482,56200,2740,112,5,4457,133,10,0.367439989,0.015019445,0.000670511,0.597693442,0.017835591,0.001341022,126,1422
Cells - Cultured fibroblasts               ,483,11378,14675,56200,4564,126,9,6532,116,31,0.401124978,0.011074002,0.000791,0.57409035,0.010195113,0.002724556,340,3000
Cells - EBV-transformed lymphocytes        ,147,3138,4740,56200,1259,44,1,1792,41,1,0.401210962,0.01402167,0.000318674,0.571064372,0.013065647,0.000318674,78,856
Colon - Sigmoid                            ,318,7110,10200,56200,2822,110,3,4072,95,8,0.396905767,0.015471167,0.000421941,0.572714487,0.013361463,0.001125176,108,968
Colon - Transverse                         ,368,8229,11303,56200,3272,138,7,4659,134,19,0.39761818,0.01676996,0.00085065,0.566168429,0.016283874,0.002308908,161,1585
Esophagus - Gastroesophageal Junction      ,330,7175,10179,56200,2643,114,16,4285,101,16,0.368362369,0.015888502,0.002229965,0.597212544,0.014076655,0.002229965,74,857
Esophagus - Mucosa                         ,497,10788,14159,56200,3894,120,5,6611,137,21,0.360956618,0.011123471,0.000463478,0.61281053,0.012699296,0.001946607,242,2640
Esophagus - Muscularis                     ,465,10223,13642,56200,3971,108,8,6001,117,18,0.388437836,0.010564414,0.000782549,0.587009684,0.011444781,0.001760736,230,2431
Heart - Atrial Appendage                   ,372,7687,10682,56200,3091,99,3,4371,101,22,0.402107454,0.012878886,0.000390269,0.568622349,0.013139066,0.002861975,103,1221
Heart - Left Ventricle                     ,386,6572,9392,56200,2660,83,2,3708,97,22,0.404747413,0.012629337,0.000304321,0.564211808,0.014759586,0.003347535,115,1290
Liver                                      ,208,3488,5553,56200,1567,79,2,1765,65,10,0.449254587,0.022649083,0.000573394,0.506020642,0.018635321,0.002866972,41,496
Lung                                       ,515,10235,13622,56200,3104,99,6,6834,177,15,0.303273083,0.009672692,0.000586224,0.667708842,0.0172936,0.001465559,323,2762
Minor Salivary Gland                       ,144,2889,4668,56200,1448,61,1,1355,23,1,0.501211492,0.021114573,0.000346141,0.469020422,0.007961232,0.000346141,NA,NA
Muscle - Skeletal                          ,706,10257,13131,56200,4601,104,11,5357,128,56,0.448571707,0.010139417,0.001072438,0.522277469,0.012479282,0.005459686,264,2387
Nerve - Tibial                             ,532,13118,16597,56200,3646,116,2,9142,186,26,0.27793871,0.008842811,0.000152462,0.696905016,0.014178991,0.001982009,326,3812
Ovary                                      ,167,3284,5316,56200,1641,59,3,1547,28,6,0.499695493,0.017965895,0.00091352,0.471071864,0.008526188,0.00182704,43,469
Pancreas                                   ,305,6440,9324,56200,2308,93,4,3937,92,6,0.358385093,0.014440994,0.000621118,0.611335404,0.014285714,0.000931677,102,1270
Pituitary                                  ,237,5587,8806,56200,2100,76,4,3329,75,3,0.375872561,0.013603007,0.000715948,0.595847503,0.01342402,0.000536961,61,732
Prostate                                   ,221,4735,7100,56200,2044,71,2,2555,50,13,0.431678986,0.01499472,0.000422386,0.539598733,0.010559662,0.002745512,54,474
Skin - Not Sun Exposed (Suprapubic)        ,517,11403,15008,56200,4081,109,8,7025,149,31,0.357888275,0.009558888,0.00070157,0.616065948,0.013066737,0.002718583,177,1961
Skin - Sun Exposed (Lower leg)             ,605,13045,16423,56200,4169,122,6,8554,177,17,0.319586048,0.009352242,0.000459946,0.655730165,0.013568417,0.001303181,330,3273
Small Intestine - Terminal Ileum           ,174,4317,6483,56200,2097,102,0,2044,65,9,0.485753996,0.023627519,0,0.473476952,0.015056752,0.002084781,39,434
Spleen                                     ,227,7315,10413,56200,3081,105,3,4023,84,19,0.421189337,0.014354067,0.000410116,0.549965824,0.011483254,0.002597403,68,825
Stomach                                    ,324,5950,8520,56200,2289,98,4,3438,108,13,0.384705882,0.016470588,0.000672269,0.577815126,0.018151261,0.002184874,107,1153
Testis                                     ,322,12867,18184,56200,3987,119,5,8611,131,14,0.309862439,0.009248465,0.000388591,0.669231367,0.010181083,0.001088055,267,3896
Thyroid                                    ,574,13224,16932,56200,4250,120,5,8631,194,24,0.32138536,0.00907441,0.0003781,0.652676951,0.014670296,0.001814882,376,3894
Uterus                                     ,129,2047,3422,56200,902,33,1,1076,33,2,0.440644846,0.016121153,0.00048852,0.525647289,0.016121153,0.00097704,25,287
Vagina                                     ,141,2251,3607,56200,1167,62,1,987,32,2,0.518436251,0.027543314,0.000444247,0.43847179,0.014215904,0.000888494,25,248
Whole Blood                                ,670,8823,11847,56200 ,3623,131,11,4814,181,63,0.410631305,0.014847558,0.001246741,0.545619404,0.020514564,0.007140428,281,2274
