Tissue name,Tissue sample size,# Trios tested,# SNPs,# Genes,# M0,# M1,# M2,# M3,# M4,# Others,% M0,% M1,% M2,% M3,% M4,% Others,# M1 in GMAC (GTEx v6),# Trios tested in GMAC (GTEx v6)
Adipose - Subcutaneous                     ,581,11850,15065,56200,3581,130,50,7521,564,4,0.33350211,0.010379747,0.000506329,0.640337553,0.013839662,0.001434599,325,3332
Adipose - Visceral (Omentum)               ,469,8932,12076,56200,3074,121,43,5283,406,5,0.363076579,0.012427228,0.001343484,0.607814599,0.01421854,0.00111957,125,1410
Adrenal Gland                              ,233,5052,7827,56200,1907,74,20,2825,221,5,0.413103721,0.012866192,0.000791766,0.560768013,0.010688836,0.001781473,94,981
Artery - Aorta                             ,387,8607,12047,56200,3030,111,35,5056,372,3,0.379807134,0.010688974,0.000697107,0.594632276,0.012083188,0.002091321,186,2009
Artery - Coronary                          ,213,3934,6107,56200,1489,73,14,2170,187,1,0.400355872,0.017793594,0.001270971,0.563294357,0.016014235,0.001270971,95,874
Artery - Tibial                            ,584,11471,14462,56200,3474,113,42,7320,514,8,0.358469183,0.007845872,0.000435882,0.6179932,0.012902101,0.002353762,281,2699
Brain - Amygdala                           ,129,2003,3647,56200,946,67,8,896,85,1,0.5332002,0.018971543,0.000998502,0.432850724,0.011982027,0.001997004,NA,NA
Brain - Anterior cingulate cortex (BA24)   ,147,3275,5496,56200,1354,106,5,1664,145,1,0.453435115,0.021984733,0.000610687,0.510839695,0.010076336,0.003053435,29,365
Brain - Caudate (basal ganglia)            ,194,5101,8140,56200,2040,150,14,2638,257,2,0.423838463,0.021172319,0.00019604,0.535973339,0.015879239,0.0029406,61,763
Brain - Cerebellar Hemisphere              ,175,6021,9560,56200,2313,153,16,3298,240,1,0.400597907,0.018435476,0.000498256,0.567845873,0.01145989,0.001162598,116,1072
Brain - Cerebellum                         ,209,6998,10707,56200,2364,146,15,4184,288,1,0.365104316,0.016290369,0.000857388,0.606744784,0.010431552,0.000571592,84,1295
Brain - Cortex                             ,205,5374,8852,56200,2045,113,23,2953,237,3,0.423706736,0.014700409,0.001302568,0.549125419,0.008373651,0.002791217,45,754
Brain - Frontal Cortex (BA9)               ,175,4408,7159,56200,2159,92,19,1985,151,2,0.529718693,0.014519056,0.000453721,0.444646098,0.007259528,0.003402904,52,595
Brain - Hippocampus                        ,165,3145,5399,56200,1563,95,13,1331,140,3,0.5354531,0.026391097,0.000317965,0.421621622,0.009220986,0.006995231,47,343
Brain - Hypothalamus                       ,170,3063,5350,56200,1531,89,13,1311,119,0,0.536728697,0.022200457,0.001305909,0.426705844,0.011100229,0.001958864,41,343
Brain - Nucleus accumbens (basal ganglia)  ,202,5033,7975,56200,2137,122,16,2516,239,3,0.472878999,0.020464931,0.000794755,0.490164912,0.011523942,0.004172462,43,592
Brain - Putamen (basal ganglia)            ,170,4011,6751,56200,1764,108,10,1919,208,2,0.471453503,0.020693094,0.000747943,0.491149339,0.013213662,0.002742458,35,482
Brain - Spinal cord (cervical c-1)         ,126,2384,4346,56200,1071,80,6,1122,103,2,0.49454698,0.026845638,0.000838926,0.466862416,0.007969799,0.002936242,NA,NA
Brain - Substantia nigra                   ,114,1729,3220,56200,862,75,10,704,78,0,0.550028918,0.030075188,0.000578369,0.402544824,0.013880856,0.002891845,NA,NA
Breast - Mammary Tissue                    ,396,7457,10482,56200,2589,115,30,4330,388,5,0.367439989,0.015019445,0.000670511,0.597693442,0.017835591,0.001341022,126,1422
Cells - Cultured fibroblasts               ,483,11378,14675,56200,3807,139,58,6845,521,8,0.401124978,0.011074002,0.000791,0.57409035,0.010195113,0.002724556,340,3000
Cells - EBV-transformed lymphocytes        ,147,3138,4740,56200,1152,62,5,1808,111,0,0.401210962,0.01402167,0.000318674,0.571064372,0.013065647,0.000318674,78,856
Colon - Sigmoid                            ,318,7110,10200,56200,2714,123,29,3944,297,3,0.396905767,0.015471167,0.000421941,0.572714487,0.013361463,0.001125176,108,968
Colon - Transverse                         ,368,8229,11303,56200,3134,155,29,4526,378,7,0.39761818,0.01676996,0.00085065,0.566168429,0.016283874,0.002308908,161,1585
