Tissue,ADDIS.M1.1,ADDIS.M1.2,ADDIS.TOTAL,LOND.M1.1,LOND.M1.2,LOND.TOTAL
AdiposeSubcutaneous,39,91,130,49,74,123
AdiposeVisceral,28,93,121,42,69,111
AdrenalGland,18,56,74,32,33,65
ArteryAorta,27,84,111,33,59,92
ArteryCoronary,18,55,73,23,47,70
ArteryTibial,27,86,113,35,55,90
BrainAmygdala,19,48,67,18,20,38
BrainAnteriorcingulatecortex,27,79,106,33,39,72
BrainCaudate,43,107,150,47,61,108
BrainCerebellarHemisphere,48,105,153,44,67,111
BrainCerebellum,49,97,146,52,62,114
BrainCortex,33,80,113,40,39,79
BrainFrontalCortex,24,68,92,33,31,64
BrainHippocampus,19,76,95,25,58,83
BrainHypothalamus,21,68,89,24,44,68
BrainNucleusaccumbens,32,90,122,39,64,103
BrainPutamen,29,79,108,36,47,83
BrainSpinalcord,26,54,80,29,35,64
BrainSubstantianigra,27,48,75,26,26,52
BreastMammaryTissue,34,81,115,44,68,112
CellsCulturedfibroblasts,43,96,139,59,67,126
CellsEBVtransformedlymphocytes,19,43,62,16,28,44
ColonSigmoid,28,95,123,40,70,110
ColonTransverse,35,120,155,51,87,138
EsophagusGastroesophagealJunction,28,84,112,43,71,114
EsophagusMucosa,35,92,127,49,71,120
EsophagusMuscularis,42,76,118,43,65,108
HeartAtrialAppendage,24,91,115,39,60,99
HeartLeftVentricle,34,64,98,37,46,83
Liver,28,60,88,37,42,79
Lung,23,90,113,33,66,99
MinorSalivaryGland,27,55,82,24,37,61
MuscleSkeletal,24,79,103,39,65,104
NerveTibial,35,81,116,51,65,116
Ovary,20,48,68,23,36,59
Pancreas,37,66,103,54,39,93
Pituitary,28,81,109,31,45,76
Prostate,18,75,93,21,50,71
SkinNotSunExposed,36,83,119,43,66,109
SkinSunExposed,32,91,123,51,71,122
SmallIntestine,28,103,131,39,63,102
Spleen,41,91,132,45,60,105
Stomach,27,82,109,31,67,98
Testis,56,103,159,55,64,119
Thyroid,40,98,138,51,69,120
Uterus,13,27,40,20,13,33
Vagina,16,57,73,19,43,62
WholeBlood,33,80,113,58,73,131
