tissue,%_ADDIS.M1.1,%_ADDIS.M1.2,ADDIS.TOTAL,%_LOND.M1.1,%_LOND.M1.2,LOND.TOTAL
AdiposeSubcutaneous,0.300000,0.700000,130,0.398374,0.601626,123
AdiposeVisceral,0.231405,0.768595,121,0.378378,0.621622,111
AdrenalGland,0.243243,0.756757,74,0.492308,0.507692,65
ArteryAorta,0.243243,0.756757,111,0.358696,0.641304,92
ArteryCoronary,0.246575,0.753425,73,0.328571,0.671429,70
ArteryTibial,0.238938,0.761062,113,0.388889,0.611111,90
BrainAmygdala,0.283582,0.716418,67,0.473684,0.526316,38
BrainAnteriorcingulatecortex,0.254717,0.745283,106,0.458333,0.541667,72
BrainCaudate,0.286667,0.713333,150,0.435185,0.564815,108
BrainCerebellarHemisphere,0.313725,0.686275,153,0.396396,0.603604,111
BrainCerebellum,0.335616,0.664384,146,0.456140,0.543860,114
BrainCortex,0.292035,0.707965,113,0.506329,0.493671,79
BrainFrontalCortex,0.260870,0.739130,92,0.515625,0.484375,64
BrainHippocampus,0.200000,0.800000,95,0.301205,0.698795,83
BrainHypothalamus,0.235955,0.764045,89,0.352941,0.647059,68
BrainNucleusaccumbens,0.262295,0.737705,122,0.378641,0.621359,103
BrainPutamen,0.268519,0.731481,108,0.433735,0.566265,83
BrainSpinalcord,0.325000,0.675000,80,0.453125,0.546875,64
BrainSubstantianigra,0.360000,0.640000,75,0.500000,0.500000,52
BreastMammaryTissue,0.295652,0.704348,115,0.392857,0.607143,112
CellsCulturedfibroblasts,0.309353,0.690647,139,0.468254,0.531746,126
CellsEBVtransformedlymphocytes,0.306452,0.693548,62,0.363636,0.636364,44
ColonSigmoid,0.227642,0.772358,123,0.363636,0.636364,110
ColonTransverse,0.225806,0.774194,155,0.369565,0.630435,138
EsophagusGastroesophagealJunction,0.250000,0.750000,112,0.377193,0.622807,114
EsophagusMucosa,0.275591,0.724409,127,0.408333,0.591667,120
EsophagusMuscularis,0.355932,0.644068,118,0.398148,0.601852,108
HeartAtrialAppendage,0.208696,0.791304,115,0.393939,0.606061,99
HeartLeftVentricle,0.346939,0.653061,98,0.445783,0.554217,83
Liver,0.318182,0.681818,88,0.468354,0.531646,79
Lung,0.203540,0.796460,113,0.333333,0.666667,99
MinorSalivaryGland,0.329268,0.670732,82,0.393443,0.606557,61
MuscleSkeletal,0.233010,0.766990,103,0.375000,0.625000,104
NerveTibial,0.301724,0.698276,116,0.439655,0.560345,116
Ovary,0.294118,0.705882,68,0.389831,0.610169,59
Pancreas,0.359223,0.640777,103,0.580645,0.419355,93
Pituitary,0.256881,0.743119,109,0.407895,0.592105,76
Prostate,0.193548,0.806452,93,0.295775,0.704225,71
SkinNotSunExposed,0.302521,0.697479,119,0.394495,0.605505,109
SkinSunExposed,0.260163,0.739837,123,0.418033,0.581967,122
SmallIntestine,0.213740,0.786260,131,0.382353,0.617647,102
Spleen,0.310606,0.689394,132,0.428571,0.571429,105
Stomach,0.247706,0.752294,109,0.316327,0.683673,98
Testis,0.352201,0.647799,159,0.462185,0.537815,119
Thyroid,0.289855,0.710145,138,0.425000,0.575000,120
Uterus,0.325000,0.675000,40,0.606061,0.393939,33
Vagina,0.219178,0.780822,73,0.306452,0.693548,62
WholeBlood,0.292035,0.707965,113,0.442748,0.557252,131
