Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2719518,"genomic DNA from breast tissue 6","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719518/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719519,"genomic DNA from breast tissue 21","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719519/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719520,"genomic DNA from breast tissue 9","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719520/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719521,"genomic DNA from breast tissue 22","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719521/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719522,"genomic DNA from breast tissue 14","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719522/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719523,"genomic DNA from breast tissue 36","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719523/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719524,"genomic DNA from breast tissue 19","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719524/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719525,"genomic DNA from breast tissue 41","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719525/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719526,"genomic DNA from breast tissue 20","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719526/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719527,"genomic DNA from breast tissue 70","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719527/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719528,"genomic DNA from breast tissue 104","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719528/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719529,"genomic DNA from breast tissue 75","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719529/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719530,"genomic DNA from breast tissue 106","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719530/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719531,"genomic DNA from breast tissue 76","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719531/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719532,"genomic DNA from breast tissue 108","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719532/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719533,"genomic DNA from breast tissue 77","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719533/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719534,"genomic DNA from breast tissue 110","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719534/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719535,"genomic DNA from breast tissue 93","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719535/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719536,"genomic DNA from breast tissue 112","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719536/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719537,"genomic DNA from breast tissue 95","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719537/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719538,"genomic DNA from breast tissue 114","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719538/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719539,"genomic DNA from breast tissue 116","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719539/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719540,"genomic DNA from breast tissue 81","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719540/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719541,"genomic DNA from breast tissue 83","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719541/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719542,"genomic DNA from breast tissue 39","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719542/suppl",,"Daniel Yui Weng","Jul 28, 2017"
