Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM1427147,"genomic DNA from DF-iPSC-230-79-R_1","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427148,"genomic DNA from DF-iPSC-230-79-R_2","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427149,"genomic DNA from DF-iPSC-230-79-R_3","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427150,"genomic DNA from DF-iPSC-230-79-R_4","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427151,"genomic DNA from DF-iPSC-230-79-R_5","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427152,"genomic DNA from DF-iPSC-230-79-R_6","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427153,"genomic DNA from DF-iPSC-230-96-R_1","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427154,"genomic DNA from DF-iPSC-230-96-R_2","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427155,"genomic DNA from DF-iPSC-230-96-R_3","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427156,"genomic DNA from DF-iPSC-230-96-R_5","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427157,"genomic DNA from DF-iPSC-230-25-R_1","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427158,"genomic DNA from DF-iPSC-230-25-R_2","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427159,"genomic DNA from DF-iPSC-230-25-R_3","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427160,"genomic DNA from DF-iPSC-230-25-R_4","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427161,"genomic DNA from DF-iPSC-230-25-R_5","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427162,"genomic DNA from DF-iPSC-230-25-R_6","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
GSM1427163,"genomic DNA from EP-iPSC-230-57-R_1","genomic","Homo sapiens",1,GPL13534,GSE59091,,,,"Lee Butcher","Jan 27, 2016"
