ID,Gender,Twin,Age,GSE53195_ID,GSE56105_ID
GSM1286226, M, DZ,12,bsgs_1,I261
GSM1286227, F,0,18,bsgs_2,I492
GSM1286228, M,0,18,bsgs_3,I107
GSM1286229, M,0,14,bsgs_4,I287
GSM1286230, M,0,44,bsgs_5,I532
GSM1286231, F,0,40,bsgs_6,I225
GSM1286232, F,0,38,bsgs_7,I304
GSM1286233, M,0,43,bsgs_8,I349
GSM1286234, F, DZ,13,bsgs_9,I346
GSM1286235, M, DZ,12,bsgs_10,I337
GSM1286236, M, DZ,13,bsgs_11,I438
GSM1286237, F,0,52,bsgs_12,I518
GSM1286238, M,0,52,bsgs_13,I350
GSM1286239, M,0,14,bsgs_14,I527
GSM1286240, F,0,15,bsgs_15,I263
GSM1286241, M, DZ,12,bsgs_16,I112
GSM1286242, F,0,41,bsgs_17,I585
GSM1286243, F,0,38,bsgs_18,I034
GSM1286244, F,0,14,bsgs_19,I371
GSM1286245, F,0,40,bsgs_20,I421
GSM1286246, F,0,44,bsgs_21,I254
GSM1286247, M,0,47,bsgs_22,I065
GSM1286248, F, DZ,13,bsgs_23,I405
GSM1286249, F,0,14,bsgs_24,I029
GSM1286250, M,0,16,bsgs_25,I066
GSM1286251, M, MZ,12,bsgs_26,I283
GSM1286252, M, DZ,12,bsgs_27,I555
GSM1286253, M, MZ,12,bsgs_28,I331
GSM1286254, M,0,15,bsgs_29,I130
GSM1286255, M,0,55,bsgs_30,I458
GSM1286256, M, DZ,12,bsgs_32,I456
GSM1286257, M, DZ,12,bsgs_33,I096
GSM1286258, F,0,47,bsgs_34,I513
GSM1286259, M,0,41,bsgs_35,I357
GSM1286260, F, DZ,12,bsgs_36,I226
GSM1286261, M, DZ,13,bsgs_37,I302
GSM1286262, F,0,43,bsgs_38,I384
GSM1286263, M, MZ,12,bsgs_39,I395
GSM1286264, F,0,50,bsgs_40,I387
GSM1286265, M, MZ,12,bsgs_41,I364
GSM1286266, F, DZ,12,bsgs_42,I177
GSM1286267, M, DZ,12,bsgs_44,I109
GSM1286268, M,0,38,bsgs_45,I428
GSM1286269, M,0,48,bsgs_46,I529
GSM1286270, M, DZ,12,bsgs_47,I348
GSM1286271, M, DZ,12,bsgs_48,I007
GSM1286272, F, DZ,12,bsgs_49,I538
GSM1286273, M,0,21,bsgs_50,I525
GSM1286274, M,0,42,bsgs_51,I192
GSM1286275, M,0,49,bsgs_52,I552
GSM1286276, M, DZ,12,bsgs_53,I358
GSM1286277, F,0,52,bsgs_54,I308
GSM1286278, M, DZ,12,bsgs_56,I465
GSM1286279, F, DZ,12,bsgs_57,I237
GSM1286280, F,0,44,bsgs_58,I147
GSM1286281, F,0,44,bsgs_59,I392
GSM1286282, M,0,14,bsgs_60,I511
GSM1286283, M,0,44,bsgs_61,I500
GSM1286284, M, DZ,12,bsgs_62,I077
GSM1286285, M, DZ,15,bsgs_63,I156
GSM1286286, F, DZ,12,bsgs_64,I059
GSM1286287, F,0,42,bsgs_65,I467
GSM1286288, F, DZ,12,bsgs_66,I078
GSM1286289, M, DZ,12,bsgs_67,I535
GSM1286290, F,0,17,bsgs_68,I092
GSM1286291, F,0,16,bsgs_69,I450
GSM1286292, M,0,43,bsgs_70,I026
GSM1286293, M,0,16,bsgs_72,I051
GSM1286294, F, DZ,12,bsgs_73,I553
GSM1286295, F, DZ,12,bsgs_74,I344
GSM1286296, F,0,44,bsgs_75,I519
GSM1286297, F, DZ,15,bsgs_76,I116
GSM1286298, F, DZ,12,bsgs_77,I232
GSM1286299, M, MZ,12,bsgs_78,I469
GSM1286300, F, DZ,12,bsgs_79,I052
GSM1286301, F, DZ,12,bsgs_80,I038
GSM1286302, M, DZ,12,bsgs_81,I418
GSM1286303, F,0,43,bsgs_82,I280
GSM1286304, F,0,42,bsgs_83,I608
GSM1286305, M,0,17,bsgs_84,I184
GSM1286306, F,0,46,bsgs_85,I159
GSM1286307, F,0,15,bsgs_86,I368
GSM1286308, M,0,49,bsgs_87,I003
GSM1286309, F,0,46,bsgs_88,I212
GSM1286310, M,0,40,bsgs_89,I122
GSM1286311, M, MZ,12,bsgs_90,I021
GSM1286312, M, DZ,12,bsgs_91,I393
GSM1286313, M,0,42,bsgs_92,I256
