Accession,Title
GSM1286226,bsgs_1
GSM1286227,bsgs_2
GSM1286228,bsgs_3
GSM1286229,bsgs_4
GSM1286230,bsgs_5
GSM1286231,bsgs_6
GSM1286232,bsgs_7
GSM1286233,bsgs_8
GSM1286234,bsgs_9
GSM1286235,bsgs_10
GSM1286236,bsgs_11
GSM1286237,bsgs_12
GSM1286238,bsgs_13
GSM1286239,bsgs_14
GSM1286240,bsgs_15
GSM1286241,bsgs_16
GSM1286242,bsgs_17
GSM1286243,bsgs_18
GSM1286244,bsgs_19
GSM1286245,bsgs_20
GSM1286246,bsgs_21
GSM1286247,bsgs_22
GSM1286248,bsgs_23
GSM1286249,bsgs_24
GSM1286250,bsgs_25
GSM1286251,bsgs_26
GSM1286252,bsgs_27
GSM1286253,bsgs_28
GSM1286254,bsgs_29
GSM1286255,bsgs_30
GSM1286256,bsgs_31
GSM1286257,bsgs_32
GSM1286258,bsgs_33
GSM1286259,bsgs_34
GSM1286260,bsgs_35
GSM1286261,bsgs_36
GSM1286262,bsgs_37
GSM1286263,bsgs_38
GSM1286264,bsgs_39
GSM1286265,bsgs_40
GSM1286266,bsgs_41
GSM1286267,bsgs_42
GSM1286268,bsgs_43
GSM1286269,bsgs_44
GSM1286270,bsgs_45
GSM1286271,bsgs_46
GSM1286272,bsgs_47
GSM1286273,bsgs_48
GSM1286274,bsgs_49
GSM1286275,bsgs_50
GSM1286276,bsgs_51
GSM1286277,bsgs_52
GSM1286278,bsgs_53
GSM1286279,bsgs_54
GSM1286280,bsgs_55
GSM1286281,bsgs_56
GSM1286282,bsgs_57
GSM1286283,bsgs_58
GSM1286284,bsgs_59
GSM1286285,bsgs_60
GSM1286286,bsgs_61
GSM1286287,bsgs_62
GSM1286288,bsgs_63
GSM1286289,bsgs_64
GSM1286290,bsgs_65
GSM1286291,bsgs_66
GSM1286292,bsgs_67
GSM1286293,bsgs_68
GSM1286294,bsgs_69
GSM1286295,bsgs_70
GSM1286296,bsgs_71
GSM1286297,bsgs_72
GSM1286298,bsgs_73
GSM1286299,bsgs_74
GSM1286300,bsgs_75
GSM1286301,bsgs_76
GSM1286302,bsgs_77
GSM1286303,bsgs_78
GSM1286304,bsgs_79
GSM1286305,bsgs_80
GSM1286306,bsgs_81
GSM1286307,bsgs_82
GSM1286308,bsgs_83
GSM1286309,bsgs_84
GSM1286310,bsgs_85
GSM1286311,bsgs_86
GSM1286312,bsgs_87
GSM1286313,bsgs_88
GSM1286314,bsgs_89
GSM1286315,bsgs_90
GSM1286316,bsgs_91
GSM1286317,bsgs_92
GSM1286318,bsgs_93
GSM1286319,bsgs_94
GSM1286320,bsgs_95
GSM1286321,bsgs_96
GSM1286322,bsgs_97
GSM1286323,bsgs_98
GSM1286324,bsgs_99
GSM1286325,bsgs_100
GSM1286326,bsgs_101
GSM1286327,bsgs_102
GSM1286328,bsgs_103
GSM1286329,bsgs_104
GSM1286330,bsgs_105
GSM1286331,bsgs_106
GSM1286332,bsgs_107
GSM1286333,bsgs_108
GSM1286334,bsgs_109
GSM1286335,bsgs_110
GSM1286336,bsgs_111
GSM1286337,bsgs_112
GSM1286338,bsgs_113
GSM1286339,bsgs_114
GSM1286340,bsgs_115
GSM1286341,bsgs_116
GSM1286342,bsgs_117
GSM1286343,bsgs_118
GSM1286344,bsgs_119
GSM1286345,bsgs_120
GSM1286346,bsgs_121
GSM1286347,bsgs_122
GSM1286348,bsgs_123
GSM1286349,bsgs_124
GSM1286350,bsgs_125
GSM1286351,bsgs_126
GSM1286352,bsgs_127
GSM1286353,bsgs_128
GSM1286354,bsgs_129
GSM1286355,bsgs_130
GSM1286356,bsgs_131
GSM1286357,bsgs_132
