GSE53195_ID GSE56105_ID
bsgs_1 I261
bsgs_2 I492
bsgs_3 I107
bsgs_4 I287
bsgs_5 I532
bsgs_6 I225
bsgs_7 I304
bsgs_8 I349
bsgs_9 I346
bsgs_10 I337
bsgs_11 I438
bsgs_12 I518
bsgs_13 I350
bsgs_14 I527
bsgs_15 I263
bsgs_16 I112
bsgs_17 I585
bsgs_18 I034
bsgs_19 I371
bsgs_20 I421
bsgs_21 I254
bsgs_22 I065
bsgs_23 I405
bsgs_24 I029
bsgs_25 I066
bsgs_26 I283
bsgs_27 I555
bsgs_28 I331
bsgs_29 I130
bsgs_30 I458
bsgs_32 I456
bsgs_33 I096
bsgs_34 I513
bsgs_35 I357
bsgs_36 I226
bsgs_37 I302
bsgs_38 I384
bsgs_39 I395
bsgs_40 I387
bsgs_41 I364
bsgs_42 I177
bsgs_44 I109
bsgs_45 I428
bsgs_46 I529
bsgs_47 I348
bsgs_48 I007
bsgs_49 I538
bsgs_50 I525
bsgs_51 I192
bsgs_52 I552
bsgs_53 I358
bsgs_54 I308
bsgs_56 I465
bsgs_57 I237
bsgs_58 I147
bsgs_59 I392
bsgs_60 I511
bsgs_61 I500
bsgs_62 I077
bsgs_63 I156
bsgs_64 I059
bsgs_65 I467
bsgs_66 I078
bsgs_67 I535
bsgs_68 I092
bsgs_69 I450
bsgs_70 I026
bsgs_72 I051
bsgs_73 I553
bsgs_74 I344
bsgs_75 I519
bsgs_76 I116
bsgs_77 I232
bsgs_78 I469
bsgs_79 I052
bsgs_80 I038
bsgs_81 I418
bsgs_82 I280
bsgs_83 I608
bsgs_84 I184
bsgs_85 I159
bsgs_86 I368
bsgs_87 I003
bsgs_88 I212
bsgs_89 I122
bsgs_90 I021
bsgs_91 I393
bsgs_92 I256
bsgs_93 I157
bsgs_94 I190
bsgs_95 I040
bsgs_96 I377
bsgs_97 I140
bsgs_98 I290
bsgs_100 I170
bsgs_101 I143
bsgs_102 I486
bsgs_103 I326
bsgs_104 I354
bsgs_106 I407
bsgs_107 I460
bsgs_108 I609
bsgs_109 I216
bsgs_110 I071
bsgs_111 I410
bsgs_112 I292
bsgs_113 I185
bsgs_114 I399
bsgs_115 I571
bsgs_116 I062
bsgs_118 I252
bsgs_119 I151
bsgs_120 I300
bsgs_121 I310
bsgs_122 I414
bsgs_123 I530
bsgs_124 I370
bsgs_125 I278
bsgs_126 I417
bsgs_127 I472
bsgs_128 I182
bsgs_130 I359
bsgs_131 I433
bsgs_132 I253
bsgs_133 I439
bsgs_134 I563
bsgs_135 I243
bsgs_136 I327
bsgs_137 I416
bsgs_138 I183
bsgs_139 I440
bsgs_141 I137
bsgs_142 I403
bsgs_143 I325
bsgs_144 I008
bsgs_145 I165
bsgs_146 I266
bsgs_147 I152
bsgs_148 I244
bsgs_149 I101
bsgs_150 I144
bsgs_151 I141
bsgs_153 I233
bsgs_154 I536
bsgs_155 I464
bsgs_156 I506
bsgs_157 I391
bsgs_158 I173
bsgs_159 I022
bsgs_160 I119
bsgs_161 I073
bsgs_162 I012
bsgs_163 I560
bsgs_165 I382
bsgs_166 I265
bsgs_167 I481
bsgs_168 I411
bsgs_169 I114
bsgs_170 I224
bsgs_171 I315
bsgs_172 I423
bsgs_173 I186
bsgs_174 I355
bsgs_176 I385
bsgs_177 I227
bsgs_178 I043
bsgs_179 I069
bsgs_180 I203
bsgs_181 I442
bsgs_182 I604
bsgs_183 I045
bsgs_184 I443
bsgs_185 I163
bsgs_186 I286
bsgs_188 I461
bsgs_189 I343
bsgs_190 I111
bsgs_191 I404
bsgs_192 I516
bsgs_193 I057
bsgs_194 I076
bsgs_195 I187
bsgs_196 I475
bsgs_197 I166
bsgs_201 I412
bsgs_202 I284
bsgs_204 I006
bsgs_205 I268
bsgs_206 I148
bsgs_207 I495
bsgs_208 I444
bsgs_209 I340
bsgs_210 I375
bsgs_212 I480
bsgs_213 I049
bsgs_214 I083
bsgs_216 I257
bsgs_217 I197
bsgs_218 I425
bsgs_219 I009
bsgs_220 I282
bsgs_221 I575
bsgs_222 I606
bsgs_224 I474
bsgs_225 I540
bsgs_226 I188
bsgs_228 I379
bsgs_229 I098
bsgs_230 I485
bsgs_231 I595
bsgs_232 I231
bsgs_233 I466
bsgs_234 I510
bsgs_235 I217
bsgs_236 I541
bsgs_238 I289
bsgs_240 I016
bsgs_241 I316
bsgs_242 I566
bsgs_243 I285
bsgs_244 I125
bsgs_245 I013
bsgs_246 I431
bsgs_247 I449
bsgs_248 I583
bsgs_250 I149
bsgs_251 I562
bsgs_252 I230
bsgs_253 I024
bsgs_254 I128
bsgs_255 I521
bsgs_256 I306
bsgs_257 I317
bsgs_258 I089
bsgs_259 I094
bsgs_260 I067
bsgs_262 I389
bsgs_263 I018
bsgs_264 I279
bsgs_265 I454
bsgs_267 I601
bsgs_268 I195
bsgs_269 I179
bsgs_270 I028
bsgs_271 I035
bsgs_272 I543
bsgs_274 I210
bsgs_275 I135
bsgs_276 I294
bsgs_277 I313
bsgs_278 I341
bsgs_279 I047
bsgs_280 I113
bsgs_281 I124
bsgs_282 I213
bsgs_283 I095
bsgs_284 I501
bsgs_287 I178
bsgs_289 I208
bsgs_290 I115
bsgs_292 I042
bsgs_294 I390
bsgs_295 I402
bsgs_296 I339
bsgs_297 I054
bsgs_299 I587
bsgs_301 I413
bsgs_302 I590
bsgs_303 I264
bsgs_304 I270
bsgs_305 I330
bsgs_306 I507
bsgs_307 I221
bsgs_308 I259
bsgs_309 I167
bsgs_310 I409
bsgs_311 I579
bsgs_312 I324
bsgs_313 I031
bsgs_314 I126
bsgs_315 I551
bsgs_316 I427
bsgs_317 I075
bsgs_318 I106
bsgs_319 I365
bsgs_320 I251
bsgs_321 I463
bsgs_322 I333
bsgs_323 I437
bsgs_324 I533
bsgs_325 I146
bsgs_326 I445
bsgs_327 I099
bsgs_328 I044
bsgs_329 I361
bsgs_331 I453
bsgs_332 I136
bsgs_334 I255
bsgs_335 I610
bsgs_337 I201
bsgs_338 I578
bsgs_339 I602
bsgs_340 I297
bsgs_341 I020
bsgs_342 I600
bsgs_343 I271
bsgs_346 I085
bsgs_347 I055
bsgs_349 I150
bsgs_351 I269
bsgs_352 I342
bsgs_353 I568
bsgs_354 I457
bsgs_355 I594
bsgs_356 I172
bsgs_357 I572
bsgs_358 I019
bsgs_359 I455
bsgs_361 I080
bsgs_362 I097
bsgs_363 I198
bsgs_364 I522
bsgs_365 I352
bsgs_366 I082
bsgs_367 I081
bsgs_369 I120
bsgs_370 I132
bsgs_371 I205
bsgs_373 I102
bsgs_374 I050
bsgs_375 I169
bsgs_376 I218
bsgs_377 I488
bsgs_378 I228
bsgs_379 I118
bsgs_381 I174
bsgs_382 I245
bsgs_386 I123
bsgs_387 I517
bsgs_388 I593
bsgs_389 I194
bsgs_391 I544
bsgs_392 I204
bsgs_394 I214
bsgs_395 I240
bsgs_397 I569
bsgs_398 I222
bsgs_399 I086
bsgs_403 I576
bsgs_404 I276
bsgs_407 I275
bsgs_408 I422
bsgs_409 I064
bsgs_410 I487
bsgs_411 I072
bsgs_418 I158
bsgs_419 I546
bsgs_420 I299
bsgs_422 I074
bsgs_424 I084
bsgs_426 I580
bsgs_430 I236
bsgs_431 I070
bsgs_432 I196
bsgs_434 I160
bsgs_435 I191
bsgs_436 I162
bsgs_438 I459
bsgs_439 I234
bsgs_441 I048
bsgs_442 I005
bsgs_446 I351
bsgs_447 I321
bsgs_451 I567
bsgs_453 I242
bsgs_454 I347
bsgs_455 I207
bsgs_456 I068
bsgs_457 I360
bsgs_458 I153
bsgs_459 I133
bsgs_463 I362
bsgs_464 I419
bsgs_465 I200
bsgs_470 I426
bsgs_472 I206
bsgs_475 I539
bsgs_476 I322
bsgs_477 I430
bsgs_479 I605
bsgs_481 I400
bsgs_482 I491
bsgs_484 I079
bsgs_486 I398
bsgs_487 I002
bsgs_491 I058
bsgs_493 I154
bsgs_494 I131
bsgs_496 I503
bsgs_498 I542
bsgs_499 I497
bsgs_500 I397
bsgs_503 I468
bsgs_505 I108
bsgs_510 I318
bsgs_511 I121
bsgs_512 I589
bsgs_514 I504
bsgs_516 I291
bsgs_517 I598
bsgs_522 I033
bsgs_523 I558
bsgs_528 I378
bsgs_529 I014
bsgs_531 I512
bsgs_533 I381
bsgs_535 I296
bsgs_537 I223
bsgs_538 I056
bsgs_539 I017
