"","Tissue","Sample.Size","Num.of.Trios","M0","M1.1","M1.2","M2","M3","M4","Other","Per.M0","Per.M1.1","Per.M1.2","Per.M2","Per.M3","Per.M4","Per.Other"
"1","AdiposeSubcutaneous",581,3388,1160,11,29,3,2131,48,6,0.342384887839433,0.00324675324675325,0.00855962219598583,0.000885478158205431,0.628984651711924,0.0141676505312869,0.00177095631641086
"2","AdiposeVisceral",469,2797,1024,7,31,6,1680,44,5,0.366106542724348,0.00250268144440472,0.0110833035395066,0.00214515552377547,0.600643546657133,0.0157311405076868,0.00178762960314623
"3","AdrenalGland",233,1740,750,7,26,1,930,23,3,0.431034482758621,0.00402298850574713,0.0149425287356322,0.000574712643678161,0.53448275862069,0.0132183908045977,0.00172413793103448
"4","ArteryAorta",387,3089,1186,7,34,1,1809,38,14,0.383943023632243,0.00226610553577209,0.0110067983166073,0.000323729362253156,0.58562641631596,0.0123017157656199,0.00453221107154419
"5","ArteryCoronary",213,1582,652,8,25,3,863,27,4,0.412136536030341,0.00505689001264223,0.015802781289507,0.00189633375474083,0.54551201011378,0.0170670037926675,0.00252844500632111
"6","ArteryTibial",584,3681,1375,4,22,2,2216,41,21,0.373539798967672,0.0010866612333605,0.00597663678348275,0.00054333061668025,0.602010323281717,0.0111382776419451,0.00570497147514262
"7","BrainAmygdala",129,695,378,5,8,1,290,10,3,0.543884892086331,0.00719424460431655,0.0115107913669065,0.00143884892086331,0.41726618705036,0.0143884892086331,0.00431654676258993
"8","BrainAnteriorcingulatecortex",147,1187,546,9,23,1,595,10,3,0.459983150800337,0.0075821398483572,0.0193765796124684,0.0008424599831508,0.501263689974726,0.008424599831508,0.0025273799494524
"9","BrainCaudate",194,1807,751,11,31,1,977,30,6,0.415605976757056,0.006087437742114,0.0171555063641395,0.000553403431101273,0.540675152185944,0.0166021029330382,0.00332042058660764
"10","BrainCerebellarHemisphere",175,2382,940,11,35,1,1358,34,3,0.394626364399664,0.00461796809403862,0.0146935348446683,0.000419815281276238,0.570109151973132,0.0142737195633921,0.00125944584382872
"11","BrainCerebellum",209,2474,896,14,34,5,1498,26,1,0.362166531932094,0.00565885206143896,0.0137429264349232,0.00202101859337106,0.605497170573969,0.0105092966855295,0.000404203718674212
"12","BrainCortex",205,1809,735,3,24,4,1014,22,7,0.406301824212272,0.00165837479270315,0.0132669983416252,0.00221116639027087,0.560530679933665,0.0121614151464898,0.00386954118297402
"13","BrainFrontalCortex",175,1503,810,11,18,0,649,9,6,0.538922155688623,0.00731869594145043,0.0119760479041916,0,0.431803060545575,0.00598802395209581,0.00399201596806387
"14","BrainHippocampus",165,1107,552,7,27,1,505,12,3,0.498644986449864,0.00632339656729901,0.024390243902439,0.000903342366757001,0.456187895212285,0.010840108401084,0.002710027100271
"15","BrainHypothalamus",170,1033,577,8,20,2,412,10,4,0.558567279767667,0.00774443368828654,0.0193610842207164,0.00193610842207164,0.398838334946757,0.00968054211035818,0.00387221684414327
"16","BrainNucleusaccumbens",202,1844,896,9,34,2,877,19,7,0.48590021691974,0.00488069414316703,0.0184381778741865,0.00108459869848156,0.475596529284165,0.0103036876355748,0.00379609544468547
"17","BrainPutamen",170,1498,660,5,29,1,774,26,3,0.440587449933244,0.00333778371161549,0.0193591455273698,0.000667556742323097,0.516688918558077,0.0173564753004005,0.00200267022696929
"18","BrainSpinalcord",126,911,409,5,18,1,473,1,4,0.448957189901207,0.00548847420417124,0.0197585071350165,0.00109769484083425,0.519209659714599,0.00109769484083425,0.00439077936333699
"19","BrainSubstantianigra",114,627,333,8,15,0,263,5,3,0.5311004784689,0.0127591706539075,0.0239234449760766,0,0.419457735247209,0.00797448165869218,0.00478468899521531
"20","BreastMammaryTissue",396,2330,899,6,31,1,1354,36,3,0.385836909871245,0.00257510729613734,0.0133047210300429,0.000429184549356223,0.581115879828326,0.015450643776824,0.00128755364806867
