"","Tissue","Sample.Size","Num.of.Trios","M0","M1.1","M1.2","M2","M3","M4","Other","Per.M0","Per.M1.1","Per.M1.2","Per.M2","Per.M3","Per.M4","Per.Other"
"1","AdiposeSubcutaneous",581,3388,980,17,36,20,2155,178,2,0.289256198347107,0.00501770956316411,0.0106257378984652,0.00590318772136954,0.636068476977568,0.0525383707201889,0.000590318772136954
"2","AdiposeVisceral",469,2797,906,9,32,20,1673,155,2,0.323918484090097,0.00321773328566321,0.0114408294601359,0.00715051841258491,0.598140865212728,0.0554165176975331,0.000715051841258491
"3","AdrenalGland",233,1740,655,9,20,10,947,95,4,0.376436781609195,0.00517241379310345,0.0114942528735632,0.00574712643678161,0.544252873563218,0.0545977011494253,0.00229885057471264
"4","ArteryAorta",387,3089,1067,14,25,17,1809,156,1,0.345419229524118,0.00453221107154419,0.00809323405632891,0.00550339915830366,0.58562641631596,0.0505017805114924,0.000323729362253156
"5","ArteryCoronary",213,1582,602,9,26,6,856,82,1,0.380530973451327,0.0056890012642225,0.0164348925410872,0.00379266750948167,0.541087231352718,0.0518331226295828,0.000632111251580278
"6","ArteryTibial",584,3681,1084,7,24,23,2350,186,7,0.294485194240695,0.00190165715838087,0.006519967400163,0.00624830209182287,0.638413474599294,0.0505297473512632,0.00190165715838087
"7","BrainAmygdala",129,695,311,9,19,5,313,37,1,0.447482014388489,0.0129496402877698,0.0273381294964029,0.00719424460431655,0.450359712230216,0.0532374100719424,0.00143884892086331
"8","BrainAnteriorcingulatecortex",147,1187,499,10,34,3,592,49,0,0.420387531592249,0.008424599831508,0.0286436394271272,0.0025273799494524,0.498736310025274,0.0412805391743892,0
"9","BrainCaudate",194,1807,688,19,43,4,948,103,2,0.380741560597676,0.0105146651909242,0.0237963475373547,0.00221361372440509,0.524626452684007,0.0570005534034311,0.00110680686220255
"10","BrainCerebellarHemisphere",175,2382,886,16,44,12,1319,104,1,0.371956339210747,0.00671704450041982,0.0184718723761545,0.00503778337531486,0.553736356003359,0.0436607892527288,0.000419815281276238
"11","BrainCerebellum",209,2474,820,17,29,12,1480,115,1,0.331447049312854,0.0068714632174616,0.0117219078415521,0.00485044462409054,0.598221503637833,0.0464834276475344,0.000404203718674212
