Tissue	EnsemblID.TF	Name.TF	EnsemblID.Target	Cor.Cis.Trans
AdiposeSubcutaneous	ENSG00000141905	NFIC	ENSG00000179151	-0.19626063055567
AdiposeSubcutaneous	ENSG00000143390	RFX5	ENSG00000145375	-0.110534452164773
AdiposeSubcutaneous	ENSG00000012504	NR1H4	ENSG00000169903	0.482673474686911
AdiposeSubcutaneous	ENSG00000181444	ZNF467	ENSG00000144366	0.0199799364838936
AdrenalGland	ENSG00000162367	TAL1	ENSG00000233954	0.0791122059939991
ArteryAorta	ENSG00000015413	MBD1	ENSG00000053254	-0.0291937037096973
ArteryAorta	ENSG00000183337	BCOR	ENSG00000140323	0.258827502745162
ArteryCoronary	ENSG00000162367	TAL1	ENSG00000106351	0.313318358656535
ArteryCoronary	ENSG00000164754	RAD21	ENSG00000137103	-0.11985356145204
ArteryCoronary	ENSG00000170577	SIX2	ENSG00000105497	-0.159525196135342
ArteryTibial	ENSG00000141905	NFIC	ENSG00000188611	0.0217787404326498
ArteryTibial	ENSG00000101076	HNF4A	ENSG00000139835	-0.105717714377294
ArteryTibial	ENSG00000164754	RAD21	ENSG00000175470	0.014723493929195
BrainAnteriorcingulatecortex	ENSG00000162367	TAL1	ENSG00000176567	-0.195051510235266
BrainCaudate	ENSG00000162772	ATF3	ENSG00000186197	0.0174658680972743
BrainCaudate	ENSG00000133884	DPF2	ENSG00000028203	0.057215493596976
BrainCerebellarHemisphere	ENSG00000143390	RFX5	ENSG00000197128	-0.4159488627105
BrainCerebellarHemisphere	ENSG00000213928	IRF9	ENSG00000113013	0.273226828237634
BrainCerebellarHemisphere	ENSG00000162772	ATF3	ENSG00000112245	0.611745014427154
BrainCerebellarHemisphere	ENSG00000070495	JMJD6	ENSG00000132341	0.619212998046279
BrainCortex	ENSG00000188290	HES4	ENSG00000095383	0.0620585369949056
BrainFrontalCortex	ENSG00000101076	HNF4A	ENSG00000160961	-0.154589195539016
BrainHippocampus	ENSG00000162992	NEUROD1	ENSG00000148484	0.180891941597724
BrainHippocampus	ENSG00000183337	BCOR	ENSG00000243244	-0.113598656332781
BrainNucleusaccumbens	ENSG00000133884	DPF2	ENSG00000101608	-0.30271238715763
BrainPutamen	ENSG00000164683	HEY1	ENSG00000104808	-0.13081442635461
BreastMammaryTissue	ENSG00000164683	HEY1	ENSG00000129422	0.29125023704431
CellsCulturedfibroblasts	ENSG00000162367	TAL1	ENSG00000153147	0.0419727372891909
CellsCulturedfibroblasts	ENSG00000168310	IRF2	ENSG00000161328	-0.24548458273011
CellsCulturedfibroblasts	ENSG00000164683	HEY1	ENSG00000103148	-0.0377402624914276
CellsCulturedfibroblasts	ENSG00000055609	KMT2C	ENSG00000108963	-0.30345039555775
CellsCulturedfibroblasts	ENSG00000164754	RAD21	ENSG00000150756	0.0168278780578802
CellsEBVtransformedlymphocytes	ENSG00000133884	DPF2	ENSG00000243566	-0.0485440844408098
ColonSigmoid	ENSG00000164683	HEY1	ENSG00000144182	-0.0530289528487597
EsophagusGastroesophagealJunction	ENSG00000101076	HNF4A	ENSG00000164266	0.601014099075974
EsophagusGastroesophagealJunction	ENSG00000121864	ZNF639	ENSG00000141570	-0.396450779268009
EsophagusMucosa	ENSG00000162367	TAL1	ENSG00000164393	0.00965489897018306
EsophagusMucosa	ENSG00000164754	RAD21	ENSG00000044115	0.175227898402987
EsophagusMucosa	ENSG00000183337	BCOR	ENSG00000211639	-0.00852344896396965
EsophagusMuscularis	ENSG00000162992	NEUROD1	ENSG00000169446	-0.105754306146079
EsophagusMuscularis	ENSG00000127152	BCL11B	ENSG00000188243	0.0666474113431573
HeartAtrialAppendage	ENSG00000162367	TAL1	ENSG00000016864	-0.241938699549601
HeartAtrialAppendage	ENSG00000117115	PADI2	ENSG00000052126	-0.102065249271485
Liver	ENSG00000257923	CUX1	ENSG00000178974	0.317967380357065
Lung	ENSG00000117115	PADI2	ENSG00000173020	0.133482510217473
MinorSalivaryGland	ENSG00000115415	STAT1	ENSG00000132109	0.745055843351995
MinorSalivaryGland	ENSG00000162992	NEUROD1	ENSG00000196361	0.705891820980842
MuscleSkeletal	ENSG00000115415	STAT1	ENSG00000149782	-0.0217177434730765
NerveTibial	ENSG00000141905	NFIC	ENSG00000188130	0.106946135207893
NerveTibial	ENSG00000178951	ZBTB7A	ENSG00000143951	-0.228656700129105
NerveTibial	ENSG00000070495	JMJD6	ENSG00000100991	-0.0585201523964773
Ovary	ENSG00000143390	RFX5	ENSG00000101181	0.410768510652047
Pancreas	ENSG00000116478	HDAC1	ENSG00000151715	0.288645469408821
Pituitary	ENSG00000139687	RB1	ENSG00000173662	-0.0878400323775655
Prostate	ENSG00000162992	NEUROD1	ENSG00000151893	0.119361246284462
SkinNotSunExposed	ENSG00000141905	NFIC	ENSG00000204237	0.104119870732145
SkinNotSunExposed	ENSG00000162367	TAL1	ENSG00000135956	-0.0797192203329756
SkinNotSunExposed	ENSG00000178951	ZBTB7A	ENSG00000196312	0.0691129871007483
SkinSunExposed	ENSG00000162367	TAL1	ENSG00000196542	0.040999964165673
SkinSunExposed	ENSG00000121864	ZNF639	ENSG00000183617	0.101197338131386
Stomach	ENSG00000162367	TAL1	ENSG00000242110	-0.0849957529064803
Testis	ENSG00000015413	MBD1	ENSG00000152439	-0.012529738137242
Thyroid	ENSG00000164754	RAD21	ENSG00000170632	-0.101537977390646
WholeBlood	ENSG00000143390	RFX5	ENSG00000163121	0.0128628458441902
WholeBlood	ENSG00000148400	NOTCH1	ENSG00000178538	-0.0233106585834485
