Tissue	Cis.Gene.ID	Cis.Gene.Name	Trans.Gene.ID	Trans.Gene.Name	Cor.SNP.Cis	Cor.SNP.Trans	Cor.Cis.Trans
SkinNotSunExposed	ENSG00000186951	PPARA	ENSG00000178537	SLC25A20	0.636692771785761	0.256314872633368	0.435636678573285
AdiposeVisceral	ENSG00000175879	HOXD8	ENSG00000128710	HOXD10	0.424971508192093	0.3261154509347	0.695371013072847
BreastMammaryTissue	ENSG00000103479	RBL2	ENSG00000268182	SMIM17	-0.576064470997785	0.225872156019589	-0.246974365502762
AdiposeVisceral	ENSG00000128709	HOXD9	ENSG00000204385	SLC44A4	0.325461535578424	0.226000888977145	0.692251551380012
Spleen	ENSG00000144791	LIMD1	ENSG00000184226	PCDH9	-0.61161512704078	-0.293185746032161	0.552075768865224
AdiposeSubcutaneous	ENSG00000054611	TBC1D22A	ENSG00000274180	NATD1	0.505018159912998	0.198843837381552	0.343331146041383
EsophagusMuscularis	ENSG00000174652	ZNF266	ENSG00000008441	NFIX	0.812692089339803	-0.20522774030437	-0.287544366075561
Liver	ENSG00000125945	ZNF436	ENSG00000144407	PTH2R	0.796298590735483	0.426392814820693	0.510707751690179
ColonSigmoid	ENSG00000182986	ZNF320	ENSG00000271327	NA	-0.699328287120789	-0.255756014182898	0.373654142335295
WholeBlood	ENSG00000170448	NFXL1	ENSG00000089041	P2RX7	0.424408792899841	0.16994157778767	0.265808429573769
AdrenalGland	ENSG00000144792	ZNF660	ENSG00000248893	FAM138E	-0.509411262854784	-0.305854631797282	0.456022620273135
CellsCulturedfibroblasts	ENSG00000093072	ADA2	ENSG00000256508	MRGPRF-AS1	0.847172631426088	0.216818066818455	0.266669567067637
Liver	ENSG00000143355	LHX9	ENSG00000254971	NA	0.639230388986093	0.407790855813432	0.484620903302863
