Tissue	Cis.Gene.ID	Cis.Gene.Name	Trans.Gene.ID	Trans.Gene.Name	Cor.SNP.Cis	Cor.SNP.Trans	Cor.Cis.Trans
NerveTibial	ENSG00000100429	HDAC10	ENSG00000141905	NFIC	-0.480754678113197	-0.218414988781322	0.251732569947153
EsophagusMucosa	ENSG00000206503	HLA-A	ENSG00000186470	BTN3A2	-0.237456398113872	-0.199998533142116	0.467343461806482
BrainCerebellarHemisphere	ENSG00000197128	ZNF772	ENSG00000143390	RFX5	-0.309743587992496	0.355593260475385	-0.4159488627105
MinorSalivaryGland	ENSG00000132109	TRIM21	ENSG00000115415	STAT1	0.537720720005393	0.699979894657809	0.745055843351995
BrainCerebellarHemisphere	ENSG00000166508	MCM7	ENSG00000213928	IRF9	-0.371047951117412	-0.401059355218927	0.538730028119362
Pituitary	ENSG00000254109	RBPMS-AS1	ENSG00000141644	MBD1	-0.062060452125988	0.289044486150392	-0.209302361516994
BrainCerebellarHemisphere	ENSG00000113811	SELENOK	ENSG00000162772	ATF3	0.467622087119876	0.904020304522184	0.585565423885677
ArteryCoronary	ENSG00000106351	AGFG2	ENSG00000162367	TAL1	0.232694131690577	0.666714840505061	0.313318358656535
EsophagusGastroesophagealJunc	ENSG00000164266	SPINK1	ENSG00000101076	HNF4A	0.381911214872846	0.501806575845296	0.601014099075974
BrainCortex	ENSG00000236255	NA	ENSG00000133111	RFXAP	-0.410085309184024	0.322050961085851	-0.371319975080702
Pancreas	ENSG00000151715	TMEM45B	ENSG00000116478	HDAC1	0.0971943362635495	-0.250914986916631	0.288645469408821
BrainHippocampus	ENSG00000254872	LINC02688	ENSG00000165462	PHOX2A	0.26059060583152	0.356743294997084	0.3139340211294
EsophagusMucosa	ENSG00000114054	PCCB	ENSG00000145284	SCD5	0.405845885605755	-0.209407592254727	-0.232091665924932
NerveTibial	ENSG00000222043	NA	ENSG00000182568	SATB1	-0.157270369889418	-0.219160942399357	0.185876843523729
BrainCaudate	ENSG00000155926	SLA	ENSG00000139687	RB1	0.0536569647827053	0.322047212249619	0.302921340780711
BrainAnteriorcingulatecortex	ENSG00000160221	GATD3A	ENSG00000280071	GATD3B	0.939717542693582	-0.878649207165848	-0.903118920969095
EsophagusGastroesophagealJunc	ENSG00000101457	DNTTIP1	ENSG00000048052	HDAC9	0.361683664533706	-0.251209866484228	-0.421587889481987
AdiposeSubcutaneous	ENSG00000169903	TM4SF4	ENSG00000012504	NR1H4	0.245820841196929	0.294276736943168	0.482673474686911
CellsCulturedfibroblasts	ENSG00000161328	LRRC56	ENSG00000168310	IRF2	-0.347143150913707	0.217675963570543	-0.24548458273011
BrainAmygdala	ENSG00000106105	GARS1	ENSG00000101255	TRIB3	0.752506795674071	0.986611950703784	0.768079721966929
AdiposeVisceral	ENSG00000272729	NA	ENSG00000175879	HOXD8	0.220975782845978	0.400152946773169	0.402746761089667
NerveTibial	ENSG00000143951	WDPCP	ENSG00000178951	ZBTB7A	-0.241187105643165	0.200325407543278	-0.228656700129105
AdiposeSubcutaneous	ENSG00000170166	HOXD4	ENSG00000128709	HOXD9	0.177387439768052	0.235871604823234	0.44086416991177
ColonTransverse	ENSG00000119280	C1orf198	ENSG00000146592	CREB5	0.0346903295562515	0.359178729709836	0.171137187957703
BreastMammaryTissue	ENSG00000129422	MTUS1	ENSG00000164683	HEY1	0.187995700435529	0.249795305307009	0.29125023704431
Liver	ENSG00000178974	FBXO34	ENSG00000257923	CUX1	0.0437358577610864	-0.355474245795394	0.317967380357065
AdiposeVisceral	ENSG00000170166	HOXD4	ENSG00000128710	HOXD10	0.228459286876791	0.284336527693465	0.453113006482349
MinorSalivaryGland	ENSG00000196361	ELAVL3	ENSG00000162992	NEUROD1	0.428520089300546	0.49841616350173	0.705891820980842
BrainPutamen	ENSG00000124126	PREX1	ENSG00000136717	BIN1	0.273835150889465	0.40945341980453	0.489519600266307
CellsCulturedfibroblasts	ENSG00000103241	FOXF1	ENSG00000152804	HHEX	0.19524729201184	0.286421610260215	0.396509547487513
MuscleSkeletal	ENSG00000184206	GOLGA6L4	ENSG00000109787	KLF3	0.465707178094411	0.186894937793655	0.196015498307383
BrainCaudate	ENSG00000249158	PCDHA11	ENSG00000197157	SND1	0.279628333292785	0.357866053702862	0.334043578809033
CellsCulturedfibroblasts	ENSG00000108963	DPH1	ENSG00000055609	KMT2C	0.367985964911908	-0.211684842721721	-0.30345039555775
Vagina	ENSG00000130313	PGLS	ENSG00000270647	TAF15	-0.0985991428072923	0.389699804473208	-0.25788270679556
BrainPutamen	ENSG00000181610	MRPS23	ENSG00000181444	ZNF467	-0.0498178631477591	-0.335767699095258	-0.244502044571426
Lung	ENSG00000173020	GRK2	ENSG00000117115	PADI2	-0.0693117545833261	0.246723967130131	0.133482510217474
BrainHypothalamus	ENSG00000112110	MRPL18	ENSG00000148400	NOTCH1	-0.377198607495323	-0.353500706384466	0.334036798574305
BrainCaudate	ENSG00000156535	CD109	ENSG00000100105	PATZ1	-0.192961436715901	0.322762280380041	-0.268183902784648
EsophagusMucosa	ENSG00000120725	SIL1	ENSG00000164754	RAD21	0.191492246990192	-0.21152200919478	-0.21245097961004
CellsCulturedfibroblasts	ENSG00000246223	LINC01550	ENSG00000127152	BCL11B	-0.24805803792643	-0.226557465410385	0.550341131055143
Spleen	ENSG00000124333	VAMP7	ENSG00000148308	GTF3C5	-0.0266991335855369	-0.336906146500289	-0.313715919023624
BrainNucleusaccumbens	ENSG00000101608	MYL12A	ENSG00000133884	DPF2	0.0474245201366702	-0.336868282300901	-0.30271238715763
ArteryAorta	ENSG00000140323	DISP2	ENSG00000183337	BCOR	0.446309950529516	0.235856967460323	0.258827502745162
AdiposeVisceral	ENSG00000177432	NAP1L5	ENSG00000188290	HES4	0.252776134871991	0.212681227674753	0.372270830706386
BrainCerebellarHemisphere	ENSG00000132341	RAN	ENSG00000070495	JMJD6	0.36299684305767	0.705103129533366	0.619212998046279
EsophagusGastroesophagealJunc	ENSG00000141570	CBX8	ENSG00000121864	ZNF639	-0.230642532907348	0.250173507344173	-0.396450779268009
EsophagusGastroesophagealJunc	ENSG00000131668	BARX1	ENSG00000170577	SIX2	0.32634536563899	0.718592537423138	0.443608245389173
CellsCulturedfibroblasts	ENSG00000160190	SLC37A1	ENSG00000170448	NFXL1	0.302283373877453	-0.200635498912285	-0.247540783751921
ColonSigmoid	ENSG00000066583	ISOC1	ENSG00000131668	BARX1	0.367315104245938	0.755767707678658	0.485387734648446
EsophagusGastroesophagealJunc	ENSG00000105810	CDK6	ENSG00000130844	ZNF331	0.242045409500365	0.334210869775064	0.382878431673027
HeartAtrialAppendage	ENSG00000067221	STOML1	ENSG00000075407	ZNF37A	-0.379317059615403	0.235031408810781	-0.372036107368842
Thyroid	ENSG00000254004	ZNF260	ENSG00000196381	ZNF781	0.333802816713252	-0.183541855684325	-0.26878026189654
MuscleSkeletal	ENSG00000103066	PLA2G15	ENSG00000140941	MAP1LC3B	-0.08217503335356	-0.168216778113527	0.19862738226991
Pancreas	ENSG00000100601	ALKBH1	ENSG00000167377	ZNF23	0.212407256152421	0.302305153361076	0.377790374127241
