Gene name,Chromosome/scaffold name,Gene start (bp)
SLC25A26,HG991_PATCH,66119285
AL157931.1,13,23551994
HMGA1P6,13,23708313
RNY3P4,13,23726725
LINC00362,13,23743974
RNU6-58P,13,23791571
TATDN2P3,13,23817659
LINC00363,13,93708910
SDAD1P4,13,23841645
RPLP1P13,13,23947562
SNORD22,13,94021100
SACS-AS1,13,23993110
HNRNPA1P29,13,94047230
GPC6-AS2,13,94470677
RNA5SP35,13,94677724
LINC00327,13,24040710
GPC6-AS1,13,94806447
LINC00352,13,24072935
AL139318.1,13,95117554
RNA5SP36,13,95303651
MTCO3P2,13,24340073
RN7SL585P,13,95351479
LINC00391,13,95351948
SOX21-AS1,13,95364970
C1QTNF9B-AS1,13,24463028
BRD7P5,13,95409705
RPL21P112,13,95412807
LINC00557,13,95612295
RNU6-62P,13,95671489
snoU13,13,95862598
RNY3P8,13,95963084
ANKRD20A19P,13,24513696
RNY4P27,13,95988360
MEMO1P5,13,96046303
CLDN10-AS1,13,96131698
RP11-309I15.1,13,24553949
DNAJC3-AS1,13,96300987
IPO7P2,13,24696204
MTND5P2,13,96344792
MIR2276,13,24736555
SPATA13-AS1,13,24826887
MTND6P18,13,96346237
C1QTNF9-AS1,13,24889863
MTCYBP3,13,96346823
NUS1P3,13,24902349
snR65,13,96366931
LINC00566,13,24905588
HMGN1P24,13,96461564
CYCSP33,13,24974841
RN7SL164P,13,96821799
AMMECR1LP1,13,97225913
TPTE2P6,13,24982295
HSP90AB6P,13,97536096
LINC00359,13,97593535
AL359538.2,13,25129366
PSPC1P2,13,25140981
TULP3P1,13,97599891
RP11-556N21.1,13,25141011
RP11-65L19.4,13,97600272
AL359538.1,13,25183217
RN7SKP7,13,97601503
RNY1P7,13,25277694
SNORD112,13,97618195
RPL26P34,13,25278476
snoU13,13,97709633
LINC00456,13,97824723
IRX1P1,13,25316815
RNA5SP37,13,98015226
PSMA6P4,13,98127996
ANKRD20A10P,13,25324795
RP11-120E13.1,13,98327265
snoU13,13,98538063
RPL7AP61,13,98553907
RP11-383H17.4,13,98591610
TPTE2P1,13,25498815
FTLP8,13,98639204
RN7SKP8,13,98856089
MIR3170,13,98860778
RP11-573N10.1,13,98885904
RP11-261P24.2,13,98981909
SLC25A15P3,13,25517713
FARP1-AS1,13,99087659
RP11-295B17.6,13,99205497
RPL34P27,13,25562715
STK24-AS1,13,99229498
AL359757.1,13,25715794
NUS1P4,13,99262546
AMER2-AS1,13,25746966
CYCSP35,13,99281940
LINC01053,13,25755579
CALM2P4,13,99293068
LINC01076,13,25767245
RN7SL60P,13,99324234
RPL23AP69,13,25780187
DOCK9-AS1,13,99484338
BTC,HG706_PATCH,75610476
AL590787.1,13,25820669
RP11-271M24.2,13,25874262
RPL7L1P12,13,99601973
TCEB2P1,13,25939937
RN7SL289P,13,26027137
AC142293.3,HG706_PATCH,75418301
RNU6-83P,13,99677488
RNU6-78P,13,26091257
DOCK9-AS2,13,99740073
RP11-467D10.2,13,26437388
RPS6P23,13,99825847
RN7SL741P,13,26518632
GAST,HG185_PATCH,39868578
RNY1P3,13,26524842
LINC00415,13,26626414
GAPDHP22,13,99842833
UBAC2-AS1,13,99848631
ATP8A2P3,13,26688547
RN7SKP9,13,99857962
H2AFZP3,13,99867626
MIR623,13,100008385
PRUNEP1,13,26691686
HMGB3P4,13,100024427
RP11-380N8.6,13,26803469
CCR12P,13,100060035
PRKRIRP6,13,26808350
AL583784.1,13,100105650
LINC00449,13,100151981
RPS3AP44,13,27151023
RNY3P6,13,100188573
LINC01039,13,100229366
WASF3-AS1,13,27180681
CFL1P8,13,100234960
FGFR1OP2P1,13,27479499
RPS21P8,13,27551680
MIR4306,13,100295313
RPS20P32,13,27591688
CLYBL-AS2,13,100342335
USP12-AS1,13,27736992
CLYBL-AS1,13,100378501
USP12-AS2,13,27746396
LINC00412,13,27810419
SNORA25,13,100436111
snoU13,13,100436308
SNORD102,13,27829201
LINC00554,13,100647153
SNORA27,13,27829538
AL159977.1,13,27894150
NDUFA12P1,13,100680023
RNU6-70P,13,27917785
LINC01079,13,27947485
ASNSP3,13,100714550
RNY1P1,13,27976613
AL137059.1,13,28008286
RNU6-63P,13,28062275
RPL15P18,13,100802735
NPM1P4,13,28270530
HAP1,HG185_PATCH,39873994
RP11-340C20.3,13,100850441
RNU6-73P,13,28402900
PCCA-AS1,13,101116694
PDX1-AS1,13,28407581
LINC00543,13,28527663
RN7SL272P,13,28563435
RP11-151A6.4,13,101187995
KATNBL1P1,13,28641724
CHCHD2P8,13,28681568
RPS26P47,13,101192089
PAN3-AS1,13,28710980
COX5BP6,13,101276129
EEF1A1P3,13,28788650
RNU6-82P,13,28806638
NALCN-AS1,13,101360579
EIF4A1P7,13,29172970
RNU6-53P,13,29277839
ARF4P3,13,101408805
CYP51A1P2,13,29296523
LINC00411,13,101593116
POM121L13P,13,29352695
RP11-397O8.7,13,102369198
AL596092.1,13,29796699
RNU1-24P,13,102431234
MTUS2-AS2,13,29813516
HMGB3P7,13,102454228
MIR2681,13,102619992
GAPDHP69,13,29880915
LIPT1P1,13,102654475
RP11-351N4.4,13,29913703
RNY1P2,13,102669303
MTUS2-AS1,13,30050652
MIR4705,13,102698284
RPL39P29,13,102915396
TIMM8BP1,13,30440096
LINC00297,13,30446750
FGF14-IT1,13,102944677
LINC00572,13,30492784
FGF14-AS1,13,103019889
LINC00544,13,30510042
FGF14-AS2,13,103046980
RP11-629E24.2,13,30596158
RP11-811P12.3,13,103053821
LINC00555,13,103241722
LINC00365,13,30677315
RP11-29B2.5,13,103331776
LINC00384,13,30726023
snoU13,13,103374152
LINC00283,13,103395340
LINC00385,13,30728203
RNY5P8,13,103472343
AL356750.1,13,30780753
RNU6-64P,13,30855902
METTL21EP,13,103532449
PRDX2P1,13,30870284
RP11-255P5.2,13,103541208
LINC00427,13,30890497
RP11-123H22.1,13,104077550
ATP6V1G1P7,13,104096970
RPL7P45,13,105466678
DAOA-AS1,13,106111404
LINC00426,13,30914407
LINC00343,13,106356629
LINC01058,13,30993656
JUP,HG185_PATCH,39910856
SNORA25,13,106549872
UBE2L5P,13,31002084
AL603632.1,13,106780720
RNA5SP38,13,106807721
RBM22P2,13,31113734
LINC00460,13,107028911
MFAP1P1,13,31115780
RPL35P9,13,107078121
PTPN2P2,13,31127807
LINC00551,13,107270158
LINC00443,13,107306264
LINC00398,13,31377343
ATP5G1P5,13,107315785
PPIAP24,13,107516164
TEX26-AS1,13,31456070
AL162574.1,13,107594562
AL354741.1,13,107627286
AL445204.1,13,107773381
SNORD31,13,107973243
MIR1267,13,108183519
AL138710.1,13,108288379
