Express_Gene_ID	SNP_ID	Cor
ILMN_1672389:HLA-DQB1	SNP_428936_chr_1	-0.037259
ILMN_1683980:LOC644482	SNP_1287122_chr_1	-0.017493
ILMN_1683990:LOC645914	SNP_1287122_chr_1	-0.054687
ILMN_1704291:ZNF785	SNP_1287122_chr_1	0.007301
ILMN_1707169:BRCA2	SNP_1287122_chr_1	-0.050433
ILMN_1707503:LEREPO4	SNP_1287122_chr_1	-0.006888
ILMN_1709399:ADD2	SNP_1287122_chr_1	-0.032211
ILMN_1711048:TRPM4	SNP_1287122_chr_1	-0.00502
ILMN_1718136:C13ORF27	SNP_1287122_chr_1	0.051402
ILMN_1726704:OR2V2	SNP_1287122_chr_1	-0.02373
ILMN_1726842:CXORF55	SNP_428936_chr_1	-0.023443
ILMN_1749011:TPD52L3	SNP_1287122_chr_1	-0.033753
ILMN_1754600:IL6	SNP_3296707_chr_1	0.011716
ILMN_1756874:CD99L2	SNP_1287122_chr_1	0.054633
ILMN_1759983:ST7	SNP_3296707_chr_1	0.024075
ILMN_1788547:LOC729559	SNP_3296707_chr_1	-0.001224
ILMN_1802611:CEL	SNP_1287122_chr_1	0.015649
ILMN_1803279:LOC286177	SNP_3296707_chr_1	-0.023607
ILMN_1804953:OVOL2	SNP_3296707_chr_1	0.016938
ILMN_1808999:GJA1	SNP_1287122_chr_1	-0.00778
ILMN_1815124:INO80C	SNP_1287122_chr_1	0.010745
ILMN_1900661:CLEC4GP1	SNP_1287122_chr_1	0.045814
ILMN_1903406:LOC390829	SNP_1287122_chr_1	0.019129
ILMN_2225974:LRRC48	SNP_3296707_chr_1	0.016769
ILMN_3240296:LOC728417	SNP_1287122_chr_1	0.036953
ILMN_3304049:LOC649768	SNP_1287122_chr_1	0.047042
