"","trio.idx","obs.reads","expected","total_NA's","P(>obs)","BY","HB.Adjusted","qvals","cis.chr","trans.chr","variant.pos","trans.left","trans.right","variant.lower.bound","variant.upper.bound","trans.lower.bound","trans.upper.bound"
"5",1314,15,2.30803398995751,4822,0.00424874468906914,0.488129610440429,0.123213595983005,0.123213595983005,"11","16",62724652,1528688,1555580,62624652,62824652,1428688,1655580
"6",1328,13,2.6443137254902,4900,0.0164705882352941,0.946136142247262,0.461176470588235,0.238823529411765,"11","19",68051297,46709293,46709345,67951297,68151297,46609293,46809345
"17",1936,7,2.04954769736842,5136,0.0269325657894737,1,0.727179276315789,0.260348135964912,"1","11",46301504,120619934,120620267,46201504,46401504,120519934,120720267
"23",2193,9,3.0700676090965,3492,0.0485556238475722,1,1,0.28572077185017,"11","22",64198299,31122731,31134697,64098299,64298299,31022731,31234697
"43",3124,4,1.62406356413167,5595,0.0492622020431328,1,1,0.28572077185017,"2","8",96904260,95986108,95993103,96804260,97004260,95886108,96093103
"4",1293,3,1.38072965388213,6793,0.0760835671967571,1,1,0.367737241450993,"X","5",154405612,168616352,168616996,154305612,154505612,168516352,168716996
"21",2120,3,1.67028571428571,6500,0.16,1,1,0.473935890698896,"11","5",63794043,10556582,10556815,63694043,63894043,10456582,10656815
"19",2041,3,1.76639600249844,8399,0.174890693316677,1,1,0.473935890698896,"16","2",68397456,27098889,27119128,68297456,68497456,26998889,27219128
"27",2349,3,1.76526013928718,5118,0.178205653420729,1,1,0.473935890698896,"5","14",76347212,24809656,25050297,76247212,76447212,24709656,25150297
"40",2963,3,1.76098360655738,6950,0.179672131147541,1,1,0.473935890698896,"15","12",40115489,6786858,6820799,40015489,40215489,6686858,6920799
"13",1800,3,1.79190751445087,8270,0.179768786127168,1,1,0.473935890698896,"14","2",73197137,91877969,91880195,73097137,73297137,91777969,91980195
"33",2643,3,1.95395550061805,6764,0.241347342398022,1,1,0.583256077461887,"18","11",47937728,95756959,95757442,47837728,48037728,95656959,95857442
"42",3053,2,1.49479505530254,6926,0.342225113858165,1,1,0.699934768427919,"X","9",48529023,136546173,136546259,48429023,48629023,136446173,136646259
"25",2285,2,1.61665542818611,7034,0.356372218476062,1,1,0.699934768427919,"4","1",57042108,16870945,16883659,56942108,57142108,16770945,16983659
"22",2166,3,2.88649706457926,8978,0.362035225048924,1,1,0.699934768427919,"22","3",23691580,130034553,130035539,23591580,23791580,129934553,130135539
"2",755,2,1.77352941176471,8980,0.402941176470588,1,1,0.730330882352941,"19","2",8322323,231256097,231256306,8222323,8422323,231156097,231356306
"39",2902,2,1.76697312588402,7172,0.43953323903819,1,1,0.749791996006323,"15","8",45697370,17510613,17511300,45597370,45797370,17410613,17611300
"41",2977,4,4.1525144270404,8787,0.49876339653751,1,1,0.8035632499771,"22","1",41964817,114353986,114355178,41864817,42064817,114253986,114455178
"3",1126,2,4.30889553862894,2648,0.759929270946681,1,1,1,"17","19",9052190,2250639,2250718,8952190,9152190,2150639,2350718
"10",1597,4,32.9990294403106,727,0.834897012832956,1,1,1,"X","X",54030593,140216035,140216804,53930593,54130593,140116035,140316804
"11",1608,1,1.96615031554791,8257,1,1,1,1,"17","2",7626829,55519604,55545879,7526829,7726829,55419604,55645879
"12",1665,1,1.43429636533085,7854,1,1,1,1,"X","14",153723443,22314490,22314919,153623443,153823443,22214490,22414919
"15",1886,1,1.46185819070905,5910,1,1,1,1,"2","4",241040817,139794125,139794433,240940817,241140817,139694125,139894433
"16",1890,1,2.51185375606969,6499,1,1,1,1,"16","11",2255538,43378882,43385671,2155538,2355538,43278882,43485671
"26",2296,1,1.94995466908432,4485,1,1,1,1,"10","14",91450968,65234515,65235101,91350968,91550968,65134515,65335101
"28",2357,1,1.95672244662435,8267,1,1,1,1,"17","2",19599064,136390332,136390669,19499064,19699064,136290332,136490669
"32",2562,1,4.06078147612156,3090,1,1,1,1,"16","22",58730951,44243665,44312951,58630951,58830951,44143665,44412951
"35",2764,1,2.44432624113475,7180,1,1,1,1,"20","11",37440356,112787304,112795854,37340356,37540356,112687304,112895854
"36",2771,1,1.75837072833966,7103,1,1,1,1,"5","1",139657611,52940314,52940413,139557611,139757611,52840314,53040413
"1",366,NA,NA,NA,NA,NA,NA,NA,"21","21",5097921,44133610,44210114,4997921,5197921,44033610,44310114
"7",1415,NA,NA,NA,NA,NA,NA,NA,"16","8",976171,105142860,105188606,876171,1076171,105042860,105288606
"8",1458,NA,NA,NA,NA,NA,NA,NA,"11","17",104891857,30624413,30625494,104791857,104991857,30524413,30725494
"9",1537,NA,NA,NA,NA,NA,NA,NA,"2","X",11155245,5169512,5170645,11055245,11255245,5069512,5270645
