"","trio.idx","obs.reads","expected","total_NA's","P(>obs)","BY","HB.Adjusted","qvals","cis.chr","trans.chr","variant.pos","trans.left","trans.right","variant.lower.bound","variant.upper.bound","trans.lower.bound","trans.upper.bound"
"30",7459,4,1.33353998760074,6774,0.0105393676379417,0.810505269103975,0.231866088034718,0.219600725952813,"11","8",102526274,82033533,82961926,102426274,102626274,81933533,83061926
"34",7947,87,15.3954174228675,1184,0.0199637023593466,0.810505269103975,0.41923774954628,0.219600725952813,"6","6",28035450,26365159,26378320,27935450,28135450,26265159,26478320
"42",8306,106,22.8671837130393,3811,0.0310227823557925,0.839661505300682,0.620455647115851,0.227500403942479,"16","16",21338671,22437008,22492220,21238671,21438671,22337008,22592220
"50",8948,22,25.9740094721035,1343,0.163451542104655,1,1,0.898983481575603,"20","20",3920512,2655067,2655198,3820512,4020512,2555067,2755198
"35",7965,2,1.27714646464646,8416,0.22790404040404,1,1,0.909663583969977,"8","1",101199278,99791662,99791753,101099278,101299278,99691662,99891753
"22",6749,2,1.3092078809811,7513,0.248090068355448,1,1,0.909663583969977,"13","10",101505125,13104574,13104793,101405125,101605125,13004574,13204793
"59",9314,3,18.0515499425947,1290,0.75752009184845,1,1,1,"8","8",143914177,107983116,107983965,143814177,144014177,107883116,108083965
"18",6397,1,1.32308619650392,6682,1,1,1,1,"5","3",90657358,159839861,159897360,90557358,90757358,159739861,159997360
"19",6419,1,1.34017595307918,8636,1,1,1,1,"22","17",41544434,30194319,30236002,41444434,41644434,30094319,30336002
"26",7300,1,17.7777777777778,1621,1,1,1,1,"10","10",46911611,48009873,48031640,46811611,47011611,47909873,48131640
"29",7429,1,1.29452968645764,7002,1,1,1,1,"6","17",117032412,30194319,30236002,116932412,117132412,30094319,30336002
"31",7587,1,1.29681978798587,7170,1,1,1,1,"2","1",218854348,38396659,38396765,218754348,218954348,38296659,38496765
"48",8874,1,1.28456703910615,7136,1,1,1,1,"1","11",3640696,124883691,124887789,3540696,3740696,124783691,124987789
"53",9089,1,1.28759716120311,7041,1,1,1,1,"1","12",149890590,22722229,22722469,149790590,149990590,22622229,22822469
"55",9207,1,1.29676787463271,8979,1,1,1,1,"15","2",92327628,35471716,35471841,92227628,92427628,35371716,35571841
"65",9818,1,1.33420463032114,7322,1,1,1,1,"9","20",128207767,57311854,57311958,128107767,128307767,57211854,57411958
"66",9903,1,1.32025117739403,8089,1,1,1,1,"13","4",110588679,99636529,99654648,110488679,110688679,99536529,99754648
"69",10171,1,1.31018660140716,6731,1,1,1,1,"2","11",207164827,116820700,116823304,207064827,207264827,116720700,116923304
"73",10940,1,1.34487138774214,6851,1,1,1,1,"8","6",89793931,29657002,29672372,89693931,89893931,29557002,29772372
"77",11210,1,1.22656561627443,7493,1,1,1,1,"1","X",219308124,48636165,48637135,219208124,219408124,48536165,48737135
"79",11282,1,1.28064300066979,8507,1,1,1,1,"12","1",51293780,214870734,214871716,51193780,51393780,214770734,214971716
"83",11398,1,1.25385527876631,8314,1,1,1,1,"X","14",77794863,106695102,106695397,77694863,77894863,106595102,106795397
"1",540,NA,NA,NA,NA,NA,NA,NA,"16","16",16371389,18374521,18401940,16271389,16471389,18274521,18501940
"2",3315,NA,NA,NA,NA,NA,NA,NA,"X","12",140773684,95438737,95438843,140673684,140873684,95338737,95538843
"3",3407,NA,NA,NA,NA,NA,NA,NA,"11","X",62640929,73126037,73128080,62540929,62740929,73026037,73228080
"4",3830,NA,NA,NA,NA,NA,NA,NA,"4","8",4042236,130004528,130004601,3942236,4142236,129904528,130104601
"5",4053,NA,NA,NA,NA,NA,NA,NA,"X","21",47356438,8701461,8701562,47256438,47456438,8601461,8801562
"6",4326,NA,NA,NA,NA,NA,NA,NA,"1","16",14677,90110574,90168225,-85323,114677,90010574,90268225
"7",4482,NA,NA,NA,NA,NA,NA,NA,"15","15",30773727,32436503,32439767,30673727,30873727,32336503,32539767
"8",4615,NA,NA,NA,NA,NA,NA,NA,"17","17",20491859,18476737,18494945,20391859,20591859,18376737,18594945
"9",4931,NA,NA,NA,NA,NA,NA,NA,"1","1",153609927,629062,629433,153509927,153709927,529062,729433
"10",5074,NA,NA,NA,NA,NA,NA,NA,"11","1",47111173,629062,629433,47011173,47211173,529062,729433
"11",5124,NA,NA,NA,NA,NA,NA,NA,"9","1",128630663,629062,629433,128530663,128730663,529062,729433
"12",5423,NA,NA,NA,NA,NA,NA,NA,"1","4",145699599,74308470,74316789,145599599,145799599,74208470,74416789
"13",5477,NA,NA,NA,NA,NA,NA,NA,"19","7",38812203,54621025,54621131,38712203,38912203,54521025,54721131
"14",5690,NA,NA,NA,NA,NA,NA,NA,"20","1",5130423,629062,629433,5030423,5230423,529062,729433
"15",5905,NA,NA,NA,NA,NA,NA,NA,"15","Y",84552845,24209567,24215581,84452845,84652845,24109567,24315581
"16",5910,NA,NA,NA,NA,NA,NA,NA,"2","X",164754670,80936434,80936540,164654670,164854670,80836434,81036540
"17",6232,NA,NA,NA,NA,NA,NA,NA,"10","11",30437916,112143253,112164096,30337916,30537916,112043253,112264096
"20",6470,NA,NA,NA,NA,NA,NA,NA,"8","1",37715336,106544342,106544744,37615336,37815336,106444342,106644744
"21",6658,NA,NA,NA,NA,NA,NA,NA,"14","1",102071272,629062,629433,101971272,102171272,529062,729433
"23",6995,NA,NA,NA,NA,NA,NA,NA,"19","1",55228445,153977743,153979160,55128445,55328445,153877743,154079160
"24",7168,NA,NA,NA,NA,NA,NA,NA,"16","8",29972613,7414855,7416863,29872613,30072613,7314855,7516863
"25",7280,NA,NA,NA,NA,NA,NA,NA,"13","6",41588099,122789049,122809720,41488099,41688099,122689049,122909720
"27",7390,NA,NA,NA,NA,NA,NA,NA,"19","1",18540306,629062,629433,18440306,18640306,529062,729433
"28",7393,NA,NA,NA,NA,NA,NA,NA,"2","12",55706333,91193709,91193942,55606333,55806333,91093709,91293942
"32",7811,NA,NA,NA,NA,NA,NA,NA,"14","7",106034544,153968665,153968826,105934544,106134544,153868665,154068826
"33",7901,NA,NA,NA,NA,NA,NA,NA,"11","17",61764519,79848058,79850110,61664519,61864519,79748058,79950110
"36",7982,NA,NA,NA,NA,NA,NA,NA,"16","7",68808992,118184144,118204035,68708992,68908992,118084144,118304035
"37",8147,NA,NA,NA,NA,NA,NA,NA,"1","14",31687604,100981975,100982046,31587604,31787604,100881975,101082046
"38",8200,NA,NA,NA,NA,NA,NA,NA,"13","12",88405849,116782105,116782208,88305849,88505849,116682105,116882208
"39",8203,NA,NA,NA,NA,NA,NA,NA,"X","2",54769923,176150303,176150412,54669923,54869923,176050303,176250412
"40",8208,NA,NA,NA,NA,NA,NA,NA,"8","1",119106378,629062,629433,119006378,119206378,529062,729433
"41",8237,NA,NA,NA,NA,NA,NA,NA,"17","1",8091865,629062,629433,7991865,8191865,529062,729433
"43",8313,NA,NA,NA,NA,NA,NA,NA,"10","19",60797819,49642209,49658642,60697819,60897819,49542209,49758642
"44",8342,NA,NA,NA,NA,NA,NA,NA,"2","12",230904022,95438737,95438843,230804022,231004022,95338737,95538843
"45",8575,NA,NA,NA,NA,NA,NA,NA,"4","1",151806700,629062,629433,151706700,151906700,529062,729433
"46",8678,NA,NA,NA,NA,NA,NA,NA,"19","11",7609948,109422190,109429167,7509948,7709948,109322190,109529167
"47",8805,NA,NA,NA,NA,NA,NA,NA,"17","X",9210787,147225826,147225952,9110787,9310787,147125826,147325952
"49",8923,NA,NA,NA,NA,NA,NA,NA,"6","15",158532886,78264086,78282196,158432886,158632886,78164086,78382196
"51",8988,NA,NA,NA,NA,NA,NA,NA,"9","X",136929218,154401236,154412112,136829218,137029218,154301236,154512112
"52",9022,NA,NA,NA,NA,NA,NA,NA,"15","Y",84700450,24209567,24215581,84600450,84800450,24109567,24315581
"54",9165,NA,NA,NA,NA,NA,NA,NA,"16","12",81162073,96422326,96485442,81062073,81262073,96322326,96585442
"56",9252,NA,NA,NA,NA,NA,NA,NA,"6","16",132750830,82170296,82175803,132650830,132850830,82070296,82275803
"57",9277,NA,NA,NA,NA,NA,NA,NA,"8","7",78527490,125345825,125346197,78427490,78627490,125245825,125446197
"58",9287,NA,NA,NA,NA,NA,NA,NA,"22","2",26088462,25160853,25168903,25988462,26188462,25060853,25268903
