SNP_ID	Chr	Coordinate
SNP_1942635_chr_6	6	24423331.1919134
SNP_2610867_chr_15	15	82155697.8332912
SNP_802305_chr_13	13	96854463.0176196
SNP_2813188_chr_2	2	58771667.5367553
SNP_2138890_chr_20	20	1590471.05812628
SNP_2237944_chr_12	12	62931549.110273
SNP_2243920_chr_X	X	89467953.9821818
SNP_1054652_chr_6	6	70254995.3092177
SNP_3913128_chr_17	17	36254948.0015306
SNP_2860171_chr_6	6	88011801.6959832
SNP_915992_chr_14	14	16658710.1281357
SNP_3653654_chr_1	1	134311865.264811
SNP_3794468_chr_3	3	52510588.3312812
SNP_1952065_chr_19	19	45503896.8653508
SNP_1844640_chr_8	8	124790103.942728
SNP_1827693_chr_11	11	9080179.41641452
SNP_897936_chr_16	16	42481904.3959164
SNP_1279033_chr_2	2	206520644.620721
SNP_3348823_chr_20	20	9655313.91994022
SNP_1804003_chr_8	8	93040438.7049757
SNP_3117506_chr_10	10	24020348.8809023
SNP_2951425_chr_3	3	124041380.490918
SNP_1716068_chr_10	10	113768959.774581
SNP_1287122_chr_1	1	16330233.6069141
SNP_228417_chr_12	12	116062928.85767
SNP_7423_chr_21	21	40849458.728878
SNP_1563099_chr_20	20	17937372.5569577
SNP_1748336_chr_10	10	102122980.696719
SNP_503817_chr_20	20	46452579.3065727
SNP_2673548_chr_12	12	17345213.6721984
SNP_3284588_chr_6	6	70382466.2533684
SNP_261776_chr_7	7	34761841.1673527
SNP_1646226_chr_3	3	101074578.499943
SNP_2861906_chr_9	9	103203477.2085
SNP_1441028_chr_9	9	96861488.0803864
SNP_3588915_chr_17	17	16247939.6745303
SNP_2963746_chr_15	15	5134722.44071148
SNP_1872631_chr_3	3	104413895.815053
SNP_1110432_chr_9	9	78233223.4401547
SNP_2363831_chr_9	9	34072932.0077463
SNP_1481678_chr_19	19	49841418.1625423
SNP_1246246_chr_8	8	17342259.24317
SNP_346629_chr_20	20	30523106.9832337
SNP_671430_chr_4	4	53322510.1890223
SNP_2208362_chr_11	11	63358516.2523421
SNP_2769862_chr_20	20	11713768.7740617
SNP_3146223_chr_13	13	8977975.12676343
SNP_2144840_chr_19	19	49162016.4668211
SNP_703502_chr_6	6	17860596.7113435
SNP_1621927_chr_18	18	15761162.5989312
SNP_2483839_chr_5	5	96308766.3492942
SNP_3154752_chr_14	14	41756229.1837695
SNP_3404131_chr_3	3	147982887.435308
SNP_3296707_chr_1	1	94068202.8591171
SNP_3075055_chr_7	7	57173174.5499936
SNP_2515926_chr_6	6	125033193.29076
SNP_428936_chr_1	1	75574350.5992509
SNP_1145165_chr_Y	Y	8291004.37852414
SNP_1607326_chr_8	8	136090345.325211
SNP_1488747_chr_3	3	42161500.6694548
SNP_2136482_chr_Y	Y	55743163.5063332
SNP_1615819_chr_8	8	116417626.950642
SNP_1337157_chr_10	10	17742580.1288936
SNP_298286_chr_18	18	41048473.7651875
SNP_2180194_chr_12	12	71427352.1968448
SNP_510842_chr_15	15	55282891.4100985
SNP_1439503_chr_10	10	130353988.311039
SNP_2494953_chr_21	21	45557540.4196314
SNP_3762125_chr_3	3	181663623.430085
SNP_1049828_chr_14	14	63030742.1348344
SNP_1140423_chr_3	3	187914507.676197
SNP_3062054_chr_11	11	28281757.4569717
SNP_3015957_chr_17	17	25475575.4050452
SNP_2981295_chr_4	4	51059592.3432968
SNP_1669508_chr_10	10	45390794.9901788
SNP_1498380_chr_6	6	144873484.649363
SNP_517262_chr_6	6	99009636.0809717
SNP_2467702_chr_10	10	54544034.6341035
SNP_974405_chr_11	11	56991131.3530461
SNP_3420916_chr_17	17	72470466.0869368
SNP_3681223_chr_11	11	120437656.780025
SNP_1802629_chr_20	20	2619372.49362154
SNP_1451231_chr_16	16	2657204.77951474
SNP_3283751_chr_14	14	52898312.2718175
SNP_1885550_chr_2	2	187651015.468296
SNP_3893796_chr_22	22	14619621.169348
SNP_3556314_chr_14	14	21799998.9335685
SNP_3936873_chr_8	8	127907510.873292
SNP_3900372_chr_14	14	72176953.8256639
SNP_3363122_chr_2	2	237301730.633491
SNP_334167_chr_3	3	163591287.057041
SNP_2166853_chr_X	X	35306166.3792814
SNP_81744_chr_7	7	82762170.5049878
SNP_423817_chr_16	16	68231354.9301494
SNP_3976160_chr_Y	Y	39015328.9417103
SNP_3242908_chr_3	3	126338653.502548
SNP_3605970_chr_Y	Y	41795340.127375
SNP_307834_chr_4	4	20218636.3455006
SNP_1824075_chr_Y	Y	8956606.01051651
SNP_872617_chr_8	8	28100534.9638988
