SNP_ID	Chr	Coordinate
SNP_3936873_chr_8	8	127907510.873292
SNP_3900372_chr_14	14	72176953.8256639
SNP_3363122_chr_2	2	237301730.633491
SNP_334167_chr_3	3	163591287.057041
SNP_2166853_chr_X	X	35306166.3792814
SNP_81744_chr_7	7	82762170.5049878
SNP_423817_chr_16	16	68231354.9301494
SNP_3976160_chr_Y	Y	39015328.9417103
SNP_3242908_chr_3	3	126338653.502548
SNP_3605970_chr_Y	Y	41795340.127375
SNP_307834_chr_4	4	20218636.3455006
SNP_1824075_chr_Y	Y	8956606.01051651
SNP_872617_chr_8	8	28100534.9638988
