Methyl_Probe_ID	SNP_ID	Cor
cg03374965	SNP_428936_chr_1	-0.02847
cg03374976	SNP_428936_chr_1	0.019684
cg03375002	SNP_428936_chr_1	-0.031407
cg03375056	SNP_428936_chr_1	-0.090455
cg03375061	SNP_428936_chr_1	-0.088027
cg03375067	SNP_428936_chr_1	-0.037882
cg03375088	SNP_428936_chr_1	-0.022687
cg03375212	SNP_428936_chr_1	-0.006413
cg03375366	SNP_428936_chr_1	-0.008371
cg03375371	SNP_428936_chr_1	-0.03911
cg03375453	SNP_428936_chr_1	0.077519
cg03375458	SNP_428936_chr_1	0.053687
cg03375579	SNP_428936_chr_1	0.072728
cg03375679	SNP_428936_chr_1	-0.012553
cg03375703	SNP_428936_chr_1	-0.051529
cg05204566	SNP_1287122_chr_1	-0.057258
cg05204798	SNP_1287122_chr_1	-0.002125
cg05204898	SNP_1287122_chr_1	0.008795
cg05204981	SNP_1287122_chr_1	-0.0468
cg05205074	SNP_1287122_chr_1	0.008604
cg05205152	SNP_1287122_chr_1	-0.008874
cg05205239	SNP_1287122_chr_1	-0.032318
cg05205299	SNP_1287122_chr_1	0.01514
cg05205314	SNP_1287122_chr_1	5.6e-05
cg05205351	SNP_1287122_chr_1	-0.019548
cg05205528	SNP_1287122_chr_1	-0.046113
cg05205532	SNP_1287122_chr_1	-0.006424
cg05205563	SNP_1287122_chr_1	-0.037555
cg05205601	SNP_1287122_chr_1	0.04702
cg05205647	SNP_1287122_chr_1	0.014524
cg05205664	SNP_1287122_chr_1	-0.037937
cg05205736	SNP_1287122_chr_1	-0.039229
cg05205813	SNP_1287122_chr_1	0.035335
cg05205842	SNP_1287122_chr_1	0.037744
cg05205932	SNP_1287122_chr_1	0.010163
cg05205953	SNP_1287122_chr_1	-0.052818
cg05206120	SNP_1287122_chr_1	-0.010265
cg05206183	SNP_1287122_chr_1	0.001339
cg05206276	SNP_1287122_chr_1	0.02575
cg05206294	SNP_1287122_chr_1	-0.018769
cg05206559	SNP_1287122_chr_1	-0.020439
cg05206587	SNP_1287122_chr_1	-0.066711
cg05206633	SNP_1287122_chr_1	-0.02477
cg05206657	SNP_1287122_chr_1	0.013734
cg05206661	SNP_1287122_chr_1	-0.050277
cg05206701	SNP_1287122_chr_1	-0.020426
cg05206762	SNP_1287122_chr_1	-0.063911
cg06373817	SNP_1287122_chr_1	-0.010326
cg06373870	SNP_1287122_chr_1	-0.033776
cg06373887	SNP_1287122_chr_1	-0.04714
cg06373919	SNP_1287122_chr_1	0.011757
cg06373940	SNP_1287122_chr_1	-0.048789
cg06374075	SNP_1287122_chr_1	0.003772
cg06374079	SNP_1287122_chr_1	0.007719
cg06374097	SNP_1287122_chr_1	-0.010175
cg06374165	SNP_1287122_chr_1	-0.071826
cg06374185	SNP_1287122_chr_1	0.044353
cg06374204	SNP_1287122_chr_1	0.025957
cg06374249	SNP_1287122_chr_1	-0.008682
cg06374307	SNP_1287122_chr_1	-0.046992
cg06374325	SNP_1287122_chr_1	-0.056018
cg06374384	SNP_1287122_chr_1	0.000169
cg06374430	SNP_1287122_chr_1	-0.030943
cg06374472	SNP_1287122_chr_1	-0.062989
cg06374610	SNP_1287122_chr_1	0.026333
cg07572341	SNP_1287122_chr_1	0.019068
cg07572348	SNP_1287122_chr_1	0.065414
cg07572435	SNP_1287122_chr_1	-0.007369
cg07572563	SNP_1287122_chr_1	-0.054526
cg07572579	SNP_1287122_chr_1	-0.008708
cg07572592	SNP_1287122_chr_1	0.005072
cg07572770	SNP_1287122_chr_1	0.023706
cg07572773	SNP_1287122_chr_1	-0.0333
cg07572790	SNP_1287122_chr_1	-0.013359
cg07572815	SNP_1287122_chr_1	0.068483
cg07572909	SNP_1287122_chr_1	-0.057283
cg07572927	SNP_1287122_chr_1	-0.005525
cg07572930	SNP_1287122_chr_1	-0.022607
cg07572949	SNP_1287122_chr_1	0.043196
cg07572984	SNP_1287122_chr_1	0.030089
cg07573020	SNP_1287122_chr_1	0.023444
cg07573057	SNP_1287122_chr_1	0.00641
cg07573061	SNP_1287122_chr_1	-0.015221
cg07573078	SNP_1287122_chr_1	-0.0244
cg07573209	SNP_1287122_chr_1	0.001172
cg07573279	SNP_1287122_chr_1	0.012722
cg07573342	SNP_1287122_chr_1	0.026819
cg07573366	SNP_1287122_chr_1	-0.075071
cg07573461	SNP_1287122_chr_1	-0.006388
cg07573715	SNP_1287122_chr_1	-0.052411
cg07573717	SNP_1287122_chr_1	-0.008771
cg07573727	SNP_1287122_chr_1	-0.03759
cg07573786	SNP_1287122_chr_1	-0.000272
cg07573797	SNP_1287122_chr_1	0.032145
