"","trio.idx","obs.reads","expected","total_NA's","P(>obs)","Hochberg","HB.Adjusted","qvals","cis.chr","trans.chr","variant.pos","trans.left","trans.right","variant.lower.bound","variant.upper.bound","trans.lower.bound","trans.upper.bound"
"23",5851,37,17.9714181018688,4542,0.0648589226823012,1,1,0.403647535625572,"16","16",74391723,70113626,70162537,74291723,74491723,70013626,70262537
"40",7470,31,18.3677124505929,1904,0.0687994071146245,1,1,0.403647535625572,"15","15",30407570,31923438,32173018,30307570,30507570,31823438,32273018
"88",10106,2,1.09268707482993,8824,0.086734693877551,1,1,0.403647535625572,"1","6",146468581,89876544,89876878,146368581,146568581,89776544,89976878
"43",7560,2,1.10733262486716,9059,0.0988310308182784,1,1,0.403647535625572,"11","3",212262,50292831,50299405,112262,312262,50192831,50399405
"69",9210,2,1.11581469648562,8748,0.107827476038339,1,1,0.403647535625572,"13","12",110482511,53191323,53207282,110382511,110582511,53091323,53307282
"36",6899,2,1.14285714285714,9328,0.12202380952381,1,1,0.403647535625572,"18","4",26863457,17629306,17781621,26763457,26963457,17529306,17881621
"25",5912,2,1.14153846153846,9350,0.124615384615385,1,1,0.403647535625572,"17","6",56819579,116877212,116932161,56719579,56919579,116777212,117032161
"14",3860,14,11.8159236501503,2351,0.129167211400183,1,1,0.403647535625572,"6","6",31274954,29887752,29890482,31174954,31374954,29787752,29990482
"6",2331,7,9.71513307984791,3425,0.241216730038023,1,1,0.670046472327841,"2","2",88997694,90209873,90210529,88897694,89097694,90109873,90310529
"73",9438,3,9.78724049098348,3401,0.493862706470677,1,1,1,"2","2",86815702,106487364,106544297,86715702,86915702,106387364,106644297
"4",1237,1,1.08641975308642,9109,1,1,1,1,"X","5",154436152,168616352,168616996,154336152,154536152,168516352,168716996
"5",1740,1,9.65840537944284,4795,1,1,1,1,"1","1",46309111,15807169,15809348,46209111,46409111,15707169,15909348
"15",4080,1,1.07471852610031,9023,1,1,1,1,"X","5",154403855,168616352,168616996,154303855,154503855,168516352,168716996
"17",4330,1,1.07301587301587,9685,1,1,1,1,"16","1",56926869,207104233,207144972,56826869,57026869,207004233,207244972
"21",5647,1,1.11915269196823,8867,1,1,1,1,"9","10",85085401,2199387,2199488,84985401,85185401,2099387,2299488
"27",6241,1,1.11814859926918,9179,1,1,1,1,"13","5",91324361,4775476,4805769,91224361,91424361,4675476,4905769
"37",7074,1,1.08014911463187,8927,1,1,1,1,"2","21",43123728,36986739,36986851,43023728,43223728,36886739,37086851
"44",7665,1,1.1280303030303,8680,1,1,1,1,"17","19",64483156,38384267,38388082,64383156,64583156,38284267,38488082
"52",8111,1,1.12135355892649,9143,1,1,1,1,"16","11",8968775,40083710,40084517,8868775,9068775,39983710,40184517
"53",8136,1,1.10338517840805,8907,1,1,1,1,"14","12",76222935,24706788,24707083,76122935,76322935,24606788,24807083
"62",8669,1,1.11067193675889,8988,1,1,1,1,"7","9",6679043,96887373,97013708,6579043,6779043,96787373,97113708
"76",9578,1,1.13348247576435,8659,1,1,1,1,"10","17",60272855,44207771,44207839,60172855,60372855,44107771,44307839
"78",9771,1,11.6081440877056,3615,1,1,1,1,"19","19",58297788,18557762,18569387,58197788,58397788,18457762,18669387
"82",9874,1,1.0995670995671,9538,1,1,1,1,"15","2",48882123,139668547,139669305,48782123,48982123,139568547,139769305
"90",10136,1,1.16842800528402,8486,1,1,1,1,"16","20",30587645,33031648,33044047,30487645,30687645,32931648,33144047
"1",316,NA,NA,NA,NA,NA,NA,NA,"19","2",8322323,231256097,231256306,8222323,8422323,231156097,231356306
"2",386,NA,NA,NA,NA,NA,NA,NA,"16","16",16214818,18374521,18401940,16114818,16314818,18274521,18501940
"3",487,NA,NA,NA,NA,NA,NA,NA,"21","21",5097921,44133610,44210114,4997921,5197921,44033610,44310114
"7",2487,NA,NA,NA,NA,NA,NA,NA,"16","19",31468997,16197578,16245907,31368997,31568997,16097578,16345907
"8",2744,NA,NA,NA,NA,NA,NA,NA,"14","6",99051297,108004357,108005568,98951297,99151297,107904357,108105568
"9",3202,NA,NA,NA,NA,NA,NA,NA,"X","8",85299449,74891151,74896302,85199449,85399449,74791151,74996302
"10",3220,NA,NA,NA,NA,NA,NA,NA,"9","9",65280293,63299453,63385117,65180293,65380293,63199453,63485117
"11",3305,NA,NA,NA,NA,NA,NA,NA,"1","1",149740673,120985692,121052167,149640673,149840673,120885692,121152167
"12",3320,NA,NA,NA,NA,NA,NA,NA,"11","11",49145178,89639237,89698718,49045178,49245178,89539237,89798718
"13",3761,NA,NA,NA,NA,NA,NA,NA,"17","17",16759591,18511221,18551705,16659591,16859591,18411221,18651705
"16",4098,NA,NA,NA,NA,NA,NA,NA,"14","2",20730940,165984641,166149214,20630940,20830940,165884641,166249214
"18",4679,NA,NA,NA,NA,NA,NA,NA,"9","X",136741140,45892912,45892979,136641140,136841140,45792912,45992979
"19",5082,NA,NA,NA,NA,NA,NA,NA,"16","10",21822349,36626015,36626138,21722349,21922349,36526015,36726138
"20",5336,NA,NA,NA,NA,NA,NA,NA,"10","8",73860311,13695574,13705506,73760311,73960311,13595574,13805506
"22",5724,NA,NA,NA,NA,NA,NA,NA,"14","2",93806549,107254691,107365873,93706549,93906549,107154691,107465873
"24",5875,NA,NA,NA,NA,NA,NA,NA,"5","7",167007602,73507208,73507274,166907602,167107602,73407208,73607274
"26",6166,NA,NA,NA,NA,NA,NA,NA,"5","14",118797637,18333726,18341859,118697637,118897637,18233726,18441859
"28",6373,NA,NA,NA,NA,NA,NA,NA,"11","14",65001712,24138959,24141591,64901712,65101712,24038959,24241591
"29",6448,NA,NA,NA,NA,NA,NA,NA,"10","1",128084029,33306766,33321098,127984029,128184029,33206766,33421098
"30",6612,NA,NA,NA,NA,NA,NA,NA,"5","8",2304825,43674270,43674591,2204825,2404825,43574270,43774591
"31",6614,NA,NA,NA,NA,NA,NA,NA,"17","5",53443132,168616352,168616996,53343132,53543132,168516352,168716996
"32",6668,NA,NA,NA,NA,NA,NA,NA,"19","11",9941494,45355371,45367490,9841494,10041494,45255371,45467490
"33",6726,NA,NA,NA,NA,NA,NA,NA,"8","5",24351093,168616352,168616996,24251093,24451093,168516352,168716996
"34",6837,NA,NA,NA,NA,NA,NA,NA,"16","15",22095970,21102843,21103138,21995970,22195970,21002843,21203138
"35",6893,NA,NA,NA,NA,NA,NA,NA,"9","12",109845096,33404872,33405896,109745096,109945096,33304872,33505896
"38",7108,NA,NA,NA,NA,NA,NA,NA,"16","2",67072570,166180652,166180966,66972570,67172570,166080652,166280966
"39",7208,NA,NA,NA,NA,NA,NA,NA,"2","21",156945197,26190707,26190813,156845197,157045197,26090707,26290813
"41",7489,NA,NA,NA,NA,NA,NA,NA,"7","7",74822222,73242751,73280119,74722222,74922222,73142751,73380119
"42",7528,NA,NA,NA,NA,NA,NA,NA,"12","11",118175452,7698951,7699393,118075452,118275452,7598951,7799393
"45",7827,NA,NA,NA,NA,NA,NA,NA,"6","14",152240063,86936640,86989125,152140063,152340063,86836640,87089125
"46",7949,NA,NA,NA,NA,NA,NA,NA,"18","10",69146235,68735720,68735823,69046235,69246235,68635720,68835823
"47",8011,NA,NA,NA,NA,NA,NA,NA,"13","1",21872617,156072013,156082465,21772617,21972617,155972013,156182465
"48",8053,NA,NA,NA,NA,NA,NA,NA,"22","2",20616389,42680088,42680279,20516389,20716389,42580088,42780279
"49",8066,NA,NA,NA,NA,NA,NA,NA,"5","9",82434818,11618496,11618621,82334818,82534818,11518496,11718621
"50",8079,NA,NA,NA,NA,NA,NA,NA,"12","2",49320320,231433923,231434426,49220320,49420320,231333923,231534426
"51",8092,NA,NA,NA,NA,NA,NA,NA,"6","15",75548254,32718004,32745106,75448254,75648254,32618004,32845106
"54",8183,NA,NA,NA,NA,NA,NA,NA,"16","21",29422573,39447010,39447069,29322573,29522573,39347010,39547069
