"","trio.idx","obs.reads","expected","total_NA's","P(>obs)","Hochberg","HB.Adjusted","qvals","cis.chr","trans.chr","variant.pos","trans.left","trans.right","variant.lower.bound","variant.upper.bound","trans.lower.bound","trans.upper.bound"
"5",1314,15,2.39264733750237,4723,0.00473754026909229,0.137388667803676,0.137388667803676,0.137388667803676,"11","16",62724652,1528688,1555580,62624652,62824652,1428688,1655580
"6",1328,13,2.53305311425296,4766,0.0158578525028659,0.444019870080245,0.444019870080245,0.229938861291555,"11","19",68051297,46709293,46709345,67951297,68151297,46609293,46809345
"17",1936,7,2.07631257631258,5086,0.0284900284900285,0.769230769230769,0.769230769230769,0.275403608736942,"1","11",46301504,120619934,120620267,46201504,46401504,120519934,120720267
"23",2193,9,3.04279314073845,3527,0.0528348524640816,1,1,0.311941659070191,"11","22",64198299,31122731,31134697,64098299,64298299,31022731,31234697
"43",3124,4,1.61121239744758,5612,0.0537830446672744,1,1,0.311941659070191,"2","8",96904260,95986108,95993103,96804260,97004260,95886108,96093103
"4",1293,3,1.35878867676103,6962,0.0694535878867676,1,1,0.33569234145271,"X","5",154405612,168616352,168616996,154305612,154505612,168516352,168716996
"21",2120,3,1.6819317235637,6397,0.156536219816819,1,1,0.480857255448786,"11","5",63794043,10556582,10556815,63694043,63894043,10456582,10656815
"27",2349,3,1.73019493985898,5178,0.168394856905848,1,1,0.480857255448786,"5","14",76347212,24809656,25050297,76247212,76447212,24709656,25150297
"19",2041,3,1.74809160305344,8297,0.17204932472108,1,1,0.480857255448786,"16","2",68397456,27098889,27119128,68297456,68497456,26998889,27219128
"13",1800,3,1.7187134502924,8290,0.174853801169591,1,1,0.480857255448786,"14","2",73197137,91877969,91880195,73097137,73297137,91777969,91980195
"40",2963,3,1.76792264088029,7001,0.182394131377126,1,1,0.480857255448786,"15","12",40115489,6786858,6820799,40015489,40215489,6686858,6920799
"33",2643,3,1.91861582826017,6879,0.231336110221083,1,1,0.559062266367617,"18","11",47937728,95756959,95757442,47837728,48037728,95656959,95857442
"42",3053,2,1.47363150867824,7004,0.328437917222964,1,1,0.700367309458219,"X","9",48529023,136546173,136546259,48429023,48629023,136446173,136646259
"22",2166,3,2.81081081081081,9001,0.354354354354354,1,1,0.700367309458219,"22","3",23691580,130034553,130035539,23591580,23791580,129934553,130135539
"25",2285,2,1.59090909090909,7096,0.362258953168044,1,1,0.700367309458219,"4","1",57042108,16870945,16883659,56942108,57142108,16770945,16983659
"2",755,2,1.75363636363636,8900,0.416363636363636,1,1,0.754031748705209,"19","2",8322323,231256097,231256306,8222323,8422323,231156097,231356306
"39",2902,2,1.75089477451682,7206,0.44201861130995,1,1,0.754031748705209,"15","8",45697370,17510613,17511300,45597370,45797370,17410613,17611300
"41",2977,4,4.13118811881188,8788,0.482673267326733,1,1,0.777640264026403,"22","1",41964817,114353986,114355178,41864817,42064817,114253986,114455178
"3",1126,2,4.33739726027397,2700,0.75958904109589,1,1,1,"17","19",9052190,2250639,2250718,8952190,9152190,2150639,2350718
"10",1597,4,30.907061601202,682,0.844816484224082,1,1,1,"X","X",54030593,140216035,140216804,53930593,54130593,140116035,140316804
"11",1608,1,1.94240542066629,8229,1,1,1,1,"17","2",7626829,55519604,55545879,7526829,7726829,55419604,55645879
"12",1665,1,1.42266666666667,7750,1,1,1,1,"X","14",153723443,22314490,22314919,153623443,153823443,22214490,22414919
"15",1886,1,1.46890303623898,5916,1,1,1,1,"2","4",241040817,139794125,139794433,240940817,241140817,139694125,139894433
"16",1890,1,2.45470282746682,6534,1,1,1,1,"16","11",2255538,43378882,43385671,2155538,2355538,43278882,43485671
