"","trio.idx","obs.reads","expected","total_NA's","P(>obs)","Reject","Holm_Bon_Thresh","cis.chr","trans.chr","variant.pos","trans.left","trans.right","variant.lower.bound","variant.upper.bound","trans.lower.bound","trans.upper.bound"
"30",7459,4,1.3114854517611,6735,0.0028,FALSE,0.000602409638554217,"11","8",102526274,82033533,82961926,102426274,102626274,81933533,83061926
"42",8306,106,22.1243243243243,3895,0.0185,FALSE,0.000609756097560976,"16","16",21338671,22437008,22492220,21238671,21438671,22337008,22592220
"34",7947,87,15.234718269778,1215,0.0188,FALSE,0.000617283950617284,"6","6",28035450,26365159,26378320,27935450,28135450,26265159,26478320
"35",7965,2,1.28841309823678,8412,0.0376,FALSE,0.000625,"8","1",101199278,99791662,99791753,101099278,101299278,99691662,99891753
"22",6749,2,1.31710213776722,7474,0.0638,FALSE,0.000632911392405063,"13","10",101505125,13104574,13104793,101405125,101605125,13004574,13204793
"55",9207,1,1.26366251198466,8957,0.1043,FALSE,0.000641025641025641,"15","2",92327628,35471716,35471841,92227628,92427628,35371716,35571841
"19",6419,1,1.33658170914543,8666,0.1334,FALSE,0.000649350649350649,"22","17",41544434,30194319,30236002,41444434,41644434,30094319,30336002
"50",8948,22,28.0336856777791,1391,0.135,FALSE,0.000657894736842105,"20","20",3920512,2655067,2655198,3820512,4020512,2555067,2755198
"79",11282,1,1.2504816955684,8443,0.1557,FALSE,0.000666666666666667,"12","1",51293780,214870734,214871716,51193780,51393780,214770734,214971716
"83",11398,1,1.28374497415279,8259,0.1741,FALSE,0.000675675675675676,"X","14",77794863,106695102,106695397,77694863,77894863,106595102,106795397
"66",9903,1,1.31926121372032,8105,0.1895,FALSE,0.000684931506849315,"13","4",110588679,99636529,99654648,110488679,110688679,99536529,99754648
"77",11210,1,1.232070910556,7518,0.2482,FALSE,0.000694444444444444,"1","X",219308124,48636165,48637135,219208124,219408124,48536165,48737135
"65",9818,1,1.32171979243884,7302,0.2698,FALSE,0.000704225352112676,"9","20",128207767,57311854,57311958,128107767,128307767,57211854,57411958
"48",8874,1,1.27163047225095,7099,0.2901,FALSE,0.000714285714285714,"1","11",3640696,124883691,124887789,3540696,3740696,124783691,124987789
"31",7587,1,1.27909371781668,7087,0.2913,FALSE,0.00072463768115942,"2","1",218854348,38396659,38396765,218754348,218954348,38296659,38496765
"29",7429,1,1.28909465020576,7084,0.2916,FALSE,0.000735294117647059,"6","17",117032412,30194319,30236002,116932412,117132412,30094319,30336002
"53",9089,1,1.29770491803279,6950,0.305,FALSE,0.000746268656716418,"1","12",149890590,22722229,22722469,149790590,149990590,22622229,22822469
"73",10940,1,1.32399745385105,6858,0.3142,FALSE,0.000757575757575758,"8","6",89793931,29657002,29672372,89693931,89893931,29557002,29772372
"69",10171,1,1.29730566738928,6771,0.3229,FALSE,0.000769230769230769,"2","11",207164827,116820700,116823304,207064827,207264827,116720700,116923304
"18",6397,1,1.32574850299401,6660,0.334,FALSE,0.00078125,"5","3",90657358,159839861,159897360,90557358,90757358,159739861,159997360
"59",9314,3,18.6610807113543,1228,0.6672,FALSE,0.000793650793650794,"8","8",143914177,107983116,107983965,143814177,144014177,107883116,108083965
"26",7300,1,16.649772346034,1654,0.8346,FALSE,0.000806451612903226,"10","10",46911611,48009873,48031640,46811611,47011611,47909873,48131640
"1",540,NA,NA,NA,NA,NA,0.000819672131147541,"16","16",16371389,18374521,18401940,16271389,16471389,18274521,18501940
"2",3315,NA,NA,NA,NA,NA,0.000833333333333333,"X","12",140773684,95438737,95438843,140673684,140873684,95338737,95538843
"3",3407,NA,NA,NA,NA,NA,0.000847457627118644,"11","X",62640929,73126037,73128080,62540929,62740929,73026037,73228080
"4",3830,NA,NA,NA,NA,NA,0.000862068965517241,"4","8",4042236,130004528,130004601,3942236,4142236,129904528,130104601
"5",4053,NA,NA,NA,NA,NA,0.00087719298245614,"X","21",47356438,8701461,8701562,47256438,47456438,8601461,8801562
"6",4326,NA,NA,NA,NA,NA,0.000892857142857143,"1","16",14677,90110574,90168225,-85323,114677,90010574,90268225
"7",4482,NA,NA,NA,NA,NA,0.000909090909090909,"15","15",30773727,32436503,32439767,30673727,30873727,32336503,32539767
"8",4615,NA,NA,NA,NA,NA,0.000925925925925926,"17","17",20491859,18476737,18494945,20391859,20591859,18376737,18594945
"9",4931,NA,NA,NA,NA,NA,0.000943396226415094,"1","1",153609927,629062,629433,153509927,153709927,529062,729433
"10",5074,NA,NA,NA,NA,NA,0.000961538461538462,"11","1",47111173,629062,629433,47011173,47211173,529062,729433
"11",5124,NA,NA,NA,NA,NA,0.000980392156862745,"9","1",128630663,629062,629433,128530663,128730663,529062,729433
"12",5423,NA,NA,NA,NA,NA,0.001,"1","4",145699599,74308470,74316789,145599599,145799599,74208470,74416789
"13",5477,NA,NA,NA,NA,NA,0.00102040816326531,"19","7",38812203,54621025,54621131,38712203,38912203,54521025,54721131
"14",5690,NA,NA,NA,NA,NA,0.00104166666666667,"20","1",5130423,629062,629433,5030423,5230423,529062,729433
"15",5905,NA,NA,NA,NA,NA,0.00106382978723404,"15","Y",84552845,24209567,24215581,84452845,84652845,24109567,24315581
"16",5910,NA,NA,NA,NA,NA,0.00108695652173913,"2","X",164754670,80936434,80936540,164654670,164854670,80836434,81036540
"17",6232,NA,NA,NA,NA,NA,0.00111111111111111,"10","11",30437916,112143253,112164096,30337916,30537916,112043253,112264096
"20",6470,NA,NA,NA,NA,NA,0.00113636363636364,"8","1",37715336,106544342,106544744,37615336,37815336,106444342,106644744
"21",6658,NA,NA,NA,NA,NA,0.00116279069767442,"14","1",102071272,629062,629433,101971272,102171272,529062,729433
"23",6995,NA,NA,NA,NA,NA,0.00119047619047619,"19","1",55228445,153977743,153979160,55128445,55328445,153877743,154079160
"24",7168,NA,NA,NA,NA,NA,0.00121951219512195,"16","8",29972613,7414855,7416863,29872613,30072613,7314855,7516863
