"","trio.idx","obs.reads","expected","total_NA's","P(>obs)","HB.Adjusted","qvals","cis.chr","trans.chr","variant.pos","trans.left","trans.right","variant.lower.bound","variant.upper.bound","trans.lower.bound","trans.upper.bound"
"27",6736,23,5.92911779704233,2156,0.0019122896481387,0.158720040795512,0.0873684210526316,"12","7",64386889,50590063,50793462,64286889,64486889,50490063,50893462
"69",9506,22,5.53621137060628,1522,0.00259495163953763,0.212786034442085,0.0873684210526316,"1","7",155177522,4682295,4771442,155077522,155277522,4582295,4871442
"5",3027,20,6.41957894736842,5250,0.00315789473684211,0.255789473684211,0.0873684210526316,"18","8",3249053,23296897,23425328,3149053,3349053,23196897,23525328
"66",9184,21,7.79549436795995,6005,0.0107634543178974,0.86107634543179,0.22334167709637,"17","5",7043856,39105252,39274528,6943856,7143856,39005252,39374528
"77",9813,15,5.77372861495196,1466,0.0191000703070073,1,0.307091930431025,"1","5",160327402,78777209,78986087,160227402,160427402,78677209,79086087
"67",9226,14,5.81672297297297,528,0.0277660472972973,1,0.307091930431025,"3","11",45062494,95067197,95071224,44962494,45162494,94967197,95171224
"19",6105,14,6.06510067114094,5530,0.0293064876957494,1,0.307091930431025,"18","7",9432547,192571,260772,9332547,9532547,92571,360772
"8",3985,20,7.78275899319434,743,0.0295992222102193,1,0.307091930431025,"11","17",122633969,7856685,7885238,122533969,122733969,7756685,7985238
"24",6625,11,5.21895339755272,2318,0.051288726894038,1,0.472996036911684,"3","2",32317125,143765940,143776119,32217125,32417125,143665940,143876119
"37",7254,11,5.36851601262968,3349,0.0637498120583371,1,0.513964719811248,"6","2",33376491,180473137,180473419,33276491,33476491,180373137,180573419
"21",6295,12,6.1393063583815,1350,0.0699421965317919,1,0.513964719811248,"12","8",109693986,139460062,139463016,109593986,109793986,139360062,139563016
"6",3128,226,174.200270635995,1871,0.0760241112067905,1,0.513964719811248,"1","1",46309111,15807169,15809348,46209111,46409111,15707169,15909348
"61",8791,463,478.815745764589,969,0.0805004982836895,1,0.513964719811248,"19","19",35135469,37554782,37594792,35035469,35235469,37454782,37694792
"45",7660,10,5.39479780960404,504,0.0943555181128896,1,0.529055846761147,"2","3",26686072,55610603,55613104,26586072,26786072,55510603,55713104
"90",11070,10,5.59213103079936,4383,0.102367811999288,1,0.529055846761147,"13","7",35897152,56114681,56116417,35797152,35997152,56014681,56216417
"52",8070,11,6.15086906141367,1370,0.104403244495944,1,0.529055846761147,"11","8",72923156,120761253,120776832,72823156,73023156,120661253,120876832
"64",8971,10,5.56353135313531,6364,0.108360836083608,1,0.529055846761147,"13","2",27546531,64208498,64208716,27446531,27646531,64108498,64308716
